time,send_or_recv,id,communicating_agent
2024-07-25 18:25:46.654207,RECEIVE,d04e4d98-76de-4294-bcd5-f14310dec696,scp_0@localhost
2024-07-25 18:25:46.663212,RECEIVE,a2b53ce2-1418-49dc-8e2c-32894f2df908,scp_1@localhost
2024-07-25 18:25:46.666344,RECEIVE,eef21767-f8f8-4432-b4a4-ddb527471c4e,scp_2@localhost
2024-07-25 18:25:46.671811,RECEIVE,d0d48ea1-6a81-4512-b5c2-c9780a9637b2,scp_7@localhost
2024-07-25 18:25:46.675812,RECEIVE,60b5870a-7f17-4e42-9d85-7f5dd638a3cd,scp_3@localhost
2024-07-25 18:25:46.679823,RECEIVE,6935a628-ba1f-46e2-b484-619239d8f063,scp_5@localhost
2024-07-25 18:25:46.683809,RECEIVE,453e5f33-ca34-4909-bf09-9f94250fe888,scp_6@localhost
2024-07-25 18:25:46.687865,RECEIVE,f7657f33-694c-44ef-bcde-dc0da7f93a02,scp_4@localhost
2024-07-25 18:26:46.710949,RECEIVE,7c43e66a-2ea1-4f6d-b16c-46da8bf0df08,scp_4@localhost
2024-07-25 18:26:46.718458,RECEIVE,0938fda1-a7c9-45c1-a918-e9d676e18e54,scp_1@localhost
2024-07-25 18:26:46.723465,RECEIVE,ae881470-caa3-470b-8173-1b7b686be044,scp_2@localhost
2024-07-25 18:26:46.727478,RECEIVE,f59d1aa5-ccc9-403b-8b12-678a43e514ee,scp_3@localhost
2024-07-25 18:26:46.730466,RECEIVE,b7c17f05-6a82-4bf4-8e8a-aacc1ed2ec44,scp_0@localhost
2024-07-25 18:26:46.733464,RECEIVE,d8af1745-d4e1-4083-a5a3-81c16294fdce,scp_7@localhost
2024-07-25 18:26:46.735472,RECEIVE,94e6faf4-b3e7-4e5a-9ac9-9b76e55e2d31,scp_5@localhost
2024-07-25 18:26:46.736474,RECEIVE,f48b9263-086a-4ae9-a45d-132edf74a15c,scp_6@localhost
2024-07-25 18:26:46.747466,SEND,eee80044-5fba-4854-9d71-84f3fbf156d0,scp_0@localhost
2024-07-25 18:26:46.753464,SEND,efbffa3c-8b25-4279-9a44-8102a0b64466,scp_1@localhost
2024-07-25 18:26:46.759474,SEND,2e74fce0-6b58-4531-850c-a0fc888bdcda,scp_2@localhost
2024-07-25 18:26:46.763467,SEND,f3cf0341-27af-4557-91c6-34ad4b8992c8,scp_7@localhost
2024-07-25 18:26:46.767467,SEND,cc4f2df7-31ce-42ed-b873-d73badcac53c,scp_3@localhost
2024-07-25 18:26:46.771467,SEND,4bacf8c1-1f96-41cc-a4f6-c8fb9aabbdcf,scp_5@localhost
2024-07-25 18:26:46.774465,SEND,ce2cc603-86d7-493d-aa05-5754e5d9102c,scp_6@localhost
2024-07-25 18:26:46.779464,SEND,fc05cd67-2879-49f6-a411-86a79f168aa1,scp_4@localhost
