time,send_or_recv,id,communicating_agent
2024-07-26 08:54:18.170623,SEND,b46ef37c-628c-4e07-a517-16b117f1f937,scp_Main_Node@localhost
2024-07-26 08:54:18.179554,SEND,d301a1b0-9d1f-48bc-82cf-0be8b6e29a89,scp_Main_Node@localhost
2024-07-26 08:54:38.192493,RECEIVE,cef9b648-d17e-4273-8a00-55899b2466c9,scp_main_node@localhost
2024-07-26 08:58:52.758497,SEND,89e1900b-ac54-4ae4-b265-b0025c9eb290,scp_Main_Node@localhost
2024-07-26 08:59:12.761731,RECEIVE,0a841c68-6788-4b21-a489-5d7298aa0bb1,scp_main_node@localhost
2024-07-26 09:00:04.805016,SEND,3b817287-83b0-4410-8488-22a2a9b396eb,scp_Main_Node@localhost
2024-07-26 09:00:04.805016,RECEIVE,0a841c68-6788-4b21-a489-5d7298aa0bb1,scp_main_node@localhost
2024-07-26 09:02:54.444716,SEND,4c37dba2-aa52-42b6-846a-feb7102742b5,scp_Main_Node@localhost
2024-07-26 09:02:54.445642,RECEIVE,288a0218-9642-4e43-a80c-d8bbf2480bee,scp_main_node@localhost
2024-07-26 09:05:55.800924,SEND,f321b036-0ea0-4783-bc0e-f65a44c89487,scp_Main_Node@localhost
2024-07-26 09:05:55.802933,RECEIVE,288a0218-9642-4e43-a80c-d8bbf2480bee,scp_main_node@localhost
2024-07-26 09:06:44.967527,SEND,51ec2109-2d3d-4c03-b922-d4e700b27ec3,scp_Main_Node@localhost
2024-07-26 09:06:44.971528,RECEIVE,35716824-e222-4a2b-b95a-234f03ffd59a,scp_main_node@localhost
2024-07-26 09:07:37.291786,SEND,c0e2f77f-b1d1-48fc-b4f0-5598031941fd,scp_Main_Node@localhost
2024-07-26 09:07:37.294289,RECEIVE,35716824-e222-4a2b-b95a-234f03ffd59a,scp_main_node@localhost
2024-07-26 09:12:35.069239,SEND,ade69b30-4a26-4223-a850-e1a9bdb6cc27,scp_Main_Node@localhost
2024-07-26 09:12:35.072238,RECEIVE,3ce92764-ee0c-4386-bbd6-b8a97297a402,scp_main_node@localhost
2024-07-26 09:13:35.619508,SEND,0140e358-1691-4d88-8f29-5252be6af20e,scp_Main_Node@localhost
2024-07-26 09:13:35.621508,RECEIVE,3ce92764-ee0c-4386-bbd6-b8a97297a402,scp_main_node@localhost
2024-07-26 09:14:33.674267,SEND,e03f39d5-52c0-4356-bd7b-af333d675101,scp_Main_Node@localhost
2024-07-26 09:14:33.677267,RECEIVE,3d2ec488-114f-46cb-8534-81eb49f22833,scp_main_node@localhost
2024-07-26 09:15:24.222414,SEND,4f23c2cd-ff2b-4e13-87d2-f6f64fef5083,scp_Main_Node@localhost
2024-07-26 09:15:24.224417,RECEIVE,3d2ec488-114f-46cb-8534-81eb49f22833,scp_main_node@localhost
