time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.600857,12.65,2.07,12.5,2.0732
2024-07-26 09:00:03.967144,20.9,1.99,19.12,1.9933
2024-07-26 09:02:41.954128,24.18,1.95,22.25,1.9504
2024-07-26 09:05:54.264440,32.42,1.7,33.25,1.7133
2024-07-26 09:06:43.008559,30.93,1.65,30.88,1.6533
2024-07-26 09:07:34.732768,33.65,1.64,31.75,1.6412
2024-07-26 09:12:30.581265,35.62,1.6,34.38,1.6091
2024-07-26 09:13:31.215963,38.5,1.58,39.88,1.5747
2024-07-26 09:14:29.406456,38.92,1.55,39.62,1.5465
2024-07-26 09:15:19.347193,37.15,1.59,37.12,1.5896
2024-07-26 09:16:07.123614,36.83,1.56,37.38,1.5553
2024-07-26 09:16:52.271306,40.7,1.56,40.88,1.5694
2024-07-26 09:19:36.635876,38.7,1.57,39.88,1.5728
2024-07-26 09:22:04.159178,40.58,1.55,41.38,1.5545
2024-07-26 09:23:10.139097,34.85,1.66,33.75,1.6478
2024-07-26 09:23:54.359369,40.77,1.52,39.88,1.5266
2024-07-26 09:24:33.188703,44.9,1.46,44.5,1.4689
2024-07-26 09:25:16.187563,42.7,1.48,43.38,1.4757
2024-07-26 09:25:50.645472,43.18,1.5,43.12,1.5047
2024-07-26 09:26:27.506305,42.05,1.51,43.25,1.4924
2024-07-26 09:27:06.957348,43.65,1.49,43.5,1.486
2024-07-26 09:27:48.693806,41.0,1.51,41.38,1.5161
2024-07-26 09:28:33.289475,43.5,1.53,43.38,1.528
2024-07-26 09:29:20.994050,43.05,1.5,44.88,1.4893
2024-07-26 09:30:05.796357,42.93,1.5,43.5,1.4984
2024-07-26 09:30:55.824928,43.9,1.51,41.62,1.5125
2024-07-26 09:31:42.453518,42.48,1.54,42.12,1.5353
2024-07-26 09:32:32.110623,39.48,1.53,40.0,1.5202
2024-07-26 09:33:22.122784,39.62,1.53,41.5,1.5153
2024-07-26 09:34:22.148265,39.85,1.56,38.88,1.5684
2024-07-26 09:35:13.823801,44.57,1.49,42.5,1.4942
2024-07-26 09:36:05.439115,43.4,1.47,43.75,1.4679
2024-07-26 09:36:52.313399,47.85,1.42,45.38,1.4348
2024-07-26 09:37:42.994647,46.95,1.45,46.75,1.4543
2024-07-26 09:38:36.441392,46.33,1.42,46.5,1.4256
2024-07-26 09:39:28.627965,47.58,1.43,45.62,1.4451
2024-07-26 09:40:16.615524,44.7,1.44,45.88,1.4607
2024-07-26 09:41:05.144690,45.15,1.46,47.25,1.4553
2024-07-26 09:41:51.174417,43.48,1.44,43.62,1.4517
2024-07-26 09:42:33.285905,46.65,1.43,48.5,1.4269
2024-07-26 09:43:21.456244,46.58,1.45,48.0,1.4556
2024-07-26 09:44:22.967167,45.48,1.43,45.0,1.434
2024-07-26 09:45:05.226090,40.65,1.55,40.12,1.5621
2024-07-26 09:45:47.662809,46.7,1.5,43.62,1.5113
