time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.735956,15.62,2.07,15.38,2.0735
2024-07-26 09:00:04.414806,26.8,1.98,25.5,1.9836
2024-07-26 09:02:54.386248,24.73,1.94,23.5,1.943
2024-07-26 09:05:55.752790,32.23,1.66,31.0,1.685
2024-07-26 09:06:44.698140,32.8,1.7,34.25,1.6956
2024-07-26 09:07:36.797721,34.62,1.64,34.62,1.6374
2024-07-26 09:12:34.230915,34.75,1.64,34.5,1.6411
2024-07-26 09:13:35.602983,39.45,1.57,41.0,1.5675
2024-07-26 09:14:33.913672,36.0,1.6,36.5,1.5955
2024-07-26 09:15:24.933988,39.25,1.56,39.62,1.5528
2024-07-26 09:16:13.163709,38.65,1.6,38.25,1.6066
2024-07-26 09:16:59.184221,37.25,1.57,37.75,1.5676
2024-07-26 09:19:44.222741,34.48,1.63,35.38,1.6142
2024-07-26 09:22:12.987931,36.58,1.62,36.25,1.6135
2024-07-26 09:23:21.413519,38.42,1.58,39.38,1.573
2024-07-26 09:24:05.702737,45.1,1.48,42.88,1.4814
2024-07-26 09:24:47.115736,43.68,1.49,46.62,1.4853
2024-07-26 09:25:34.151842,42.38,1.5,40.75,1.5065
2024-07-26 09:26:13.747130,39.12,1.53,38.62,1.5294
2024-07-26 09:26:56.525318,44.32,1.49,43.5,1.4784
2024-07-26 09:27:39.818398,41.75,1.5,40.88,1.5182
2024-07-26 09:28:27.132126,41.6,1.49,42.88,1.4953
2024-07-26 09:29:16.740561,42.58,1.52,42.25,1.5211
2024-07-26 09:30:02.483198,43.68,1.48,41.62,1.4894
2024-07-26 09:30:54.284444,41.93,1.49,42.0,1.4874
2024-07-26 09:31:42.393457,42.27,1.53,42.75,1.5385
2024-07-26 09:32:32.814548,41.5,1.5,40.25,1.5102
2024-07-26 09:33:23.157025,43.48,1.48,41.75,1.4991
2024-07-26 09:34:23.624023,39.48,1.55,38.62,1.564
2024-07-26 09:35:16.035103,43.9,1.51,44.62,1.5027
2024-07-26 09:36:08.292933,43.88,1.49,42.75,1.4957
2024-07-26 09:36:56.304551,43.43,1.44,42.5,1.4629
2024-07-26 09:37:47.033195,46.3,1.45,45.12,1.4658
2024-07-26 09:38:40.817343,45.3,1.46,42.88,1.473
2024-07-26 09:39:34.068185,46.45,1.43,45.38,1.4408
2024-07-26 09:40:23.513961,48.88,1.45,47.62,1.4599
2024-07-26 09:41:13.633937,47.95,1.4,48.25,1.4081
2024-07-26 09:42:02.031121,42.33,1.53,41.88,1.5557
2024-07-26 09:42:49.171557,46.25,1.44,45.12,1.4423
2024-07-26 09:43:59.607778,44.85,1.46,44.12,1.4828
2024-07-26 09:44:51.633023,45.27,1.44,45.0,1.4421
2024-07-26 09:45:37.392788,46.5,1.48,47.0,1.4739
2024-07-26 09:46:23.462272,47.42,1.43,46.38,1.4455
2024-07-26 09:47:11.835346,46.27,1.44,46.75,1.4514
2024-07-26 09:47:58.027668,46.12,1.41,47.62,1.4164
2024-07-26 09:48:49.986496,43.58,1.51,42.62,1.5467
2024-07-26 09:49:37.178185,47.67,1.42,47.75,1.4302
2024-07-26 09:50:23.555411,43.15,1.53,42.5,1.5294
2024-07-26 09:57:21.138546,45.35,1.46,45.5,1.4707
2024-07-26 09:59:39.033966,48.43,1.42,46.0,1.4319
2024-07-26 10:00:25.848943,44.47,1.44,44.38,1.4639
2024-07-26 10:01:16.001527,41.8,1.53,39.62,1.5441
2024-07-26 10:02:03.075995,44.4,1.49,45.75,1.5096
2024-07-26 10:02:51.346566,46.23,1.43,45.0,1.4505
2024-07-26 10:03:41.363483,41.85,1.49,41.38,1.5035
2024-07-26 10:04:33.283518,45.32,1.46,45.25,1.4601
2024-07-26 10:05:24.883614,45.73,1.45,45.88,1.4565
2024-07-26 10:06:15.218471,44.88,1.48,44.5,1.4805
2024-07-26 10:07:06.059129,43.1,1.45,42.88,1.4688
2024-07-26 10:09:01.442595,47.75,1.44,47.12,1.448
2024-07-26 10:11:36.187090,45.4,1.47,46.62,1.4676
2024-07-26 10:12:27.249074,47.62,1.45,47.38,1.4547
2024-07-26 10:13:15.163058,47.08,1.4,47.0,1.4165
2024-07-26 10:14:08.260519,48.8,1.37,48.38,1.3958
2024-07-26 10:14:59.288961,50.65,1.37,49.5,1.3876
2024-07-26 10:15:50.288969,48.12,1.41,46.62,1.4184
2024-07-26 10:16:40.043859,49.88,1.37,49.12,1.3908
2024-07-26 10:17:28.652917,50.72,1.37,46.88,1.3819
2024-07-26 10:18:24.679662,46.88,1.39,46.5,1.4023
2024-07-26 10:19:15.478045,50.65,1.35,49.0,1.3684
2024-07-26 10:20:05.238174,47.35,1.4,44.0,1.4107
2024-07-26 10:20:56.683730,50.98,1.36,50.25,1.3693
2024-07-26 10:21:46.270263,47.3,1.38,48.38,1.3937
2024-07-26 10:22:37.871711,49.62,1.38,50.38,1.3913
2024-07-26 10:23:29.883300,48.05,1.39,48.88,1.4023
2024-07-26 10:24:25.958841,50.0,1.37,48.88,1.3786
2024-07-26 10:29:34.023611,51.05,1.37,49.12,1.3863
2024-07-26 10:30:24.949525,49.4,1.37,47.5,1.3933
2024-07-26 10:31:13.192249,43.08,1.48,43.5,1.5092
2024-07-26 10:32:04.111728,48.85,1.39,47.62,1.4036
2024-07-26 10:32:58.765329,48.18,1.39,48.12,1.4041
2024-07-26 10:33:51.164477,48.43,1.38,45.75,1.4141
2024-07-26 10:34:41.693812,46.55,1.41,45.62,1.4526
2024-07-26 10:35:33.053288,46.45,1.4,44.62,1.4376
2024-07-26 10:40:13.601205,49.9,1.4,48.88,1.4108
2024-07-26 10:41:16.142682,50.85,1.35,49.75,1.3625
2024-07-26 10:42:06.010300,48.95,1.38,48.12,1.4109
2024-07-26 10:42:59.125085,48.88,1.37,46.38,1.4053
2024-07-26 10:44:07.942200,50.0,1.35,49.12,1.3603
2024-07-26 10:45:22.514730,46.45,1.4,45.38,1.4213
2024-07-26 10:49:12.785119,49.8,1.4,47.5,1.412
2024-07-26 10:50:22.062377,51.08,1.36,49.25,1.3881
2024-07-26 10:51:14.712842,47.25,1.41,43.38,1.4514
2024-07-26 10:52:11.539844,41.68,1.46,41.88,1.4678
2024-07-26 10:53:00.574124,50.72,1.36,49.88,1.3642
2024-07-26 10:53:51.427711,50.25,1.38,50.12,1.3961
2024-07-26 10:54:43.207859,49.9,1.37,48.12,1.3802
2024-07-26 10:55:35.468724,52.55,1.33,52.62,1.3441
2024-07-26 10:56:26.031225,52.25,1.33,51.0,1.3671
2024-07-26 10:57:33.450887,46.73,1.42,46.38,1.4329
2024-07-26 11:03:11.570504,49.38,1.38,50.25,1.3785
2024-07-26 11:05:35.443654,51.52,1.34,50.0,1.3671
2024-07-26 11:06:35.482330,47.93,1.39,46.75,1.4127
2024-07-26 11:07:29.788029,50.28,1.35,50.5,1.3675
2024-07-26 11:08:23.737655,50.0,1.39,51.25,1.3855
2024-07-26 11:09:20.959729,48.25,1.4,48.62,1.4223
2024-07-26 11:10:27.880099,49.78,1.37,47.75,1.3779
2024-07-26 11:11:24.619470,47.52,1.39,45.5,1.4167
2024-07-26 11:12:26.207948,50.0,1.37,47.5,1.3838
2024-07-26 11:14:11.688621,47.77,1.4,45.88,1.4395
2024-07-26 11:15:06.802814,50.08,1.34,49.38,1.3728
2024-07-26 11:15:55.095080,50.28,1.37,48.5,1.3911
2024-07-26 11:16:42.054649,50.15,1.35,46.88,1.3641
2024-07-26 11:17:30.111340,48.35,1.39,47.5,1.3982
2024-07-26 11:18:18.140763,46.52,1.45,46.5,1.4693
2024-07-26 11:20:51.054253,49.75,1.35,49.5,1.377
2024-07-26 11:26:18.822453,50.5,1.35,49.88,1.365
2024-07-26 11:29:51.207622,48.05,1.38,47.0,1.3978
2024-07-26 11:30:32.989189,50.65,1.36,48.12,1.3728
2024-07-26 11:31:18.531867,44.8,1.42,46.25,1.4156
2024-07-26 11:32:07.353480,45.45,1.45,47.12,1.4385
