time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.698208,19.6,2.07,18.5,2.0729
2024-07-26 09:00:04.592562,27.32,1.99,25.87,1.9939
2024-07-26 09:02:54.386248,17.57,1.97,17.12,1.9722
2024-07-26 09:05:55.751790,33.55,1.65,32.38,1.6518
2024-07-26 09:06:44.815316,35.3,1.63,33.5,1.64
2024-07-26 09:07:36.911841,27.65,1.82,28.88,1.8081
2024-07-26 09:12:33.531828,29.68,1.78,31.62,1.7784
2024-07-26 09:13:34.742314,39.23,1.55,38.25,1.5508
2024-07-26 09:14:33.331691,41.35,1.55,41.38,1.5507
2024-07-26 09:15:23.885780,37.72,1.56,36.62,1.5709
2024-07-26 09:16:12.628938,40.05,1.57,40.62,1.557
2024-07-26 09:16:58.986120,35.38,1.6,36.25,1.5999
2024-07-26 09:19:43.976908,37.8,1.59,37.5,1.591
2024-07-26 09:22:12.523726,39.57,1.58,41.25,1.5642
2024-07-26 09:23:20.393474,35.3,1.67,34.75,1.7022
2024-07-26 09:24:05.038044,42.52,1.5,40.88,1.5152
2024-07-26 09:24:46.531254,43.68,1.5,42.5,1.5101
2024-07-26 09:25:33.695318,39.0,1.56,38.75,1.5722
2024-07-26 09:26:13.427619,43.25,1.5,42.0,1.5057
2024-07-26 09:26:56.397562,42.08,1.52,40.25,1.5227
2024-07-26 09:27:39.561471,41.05,1.5,42.88,1.4865
2024-07-26 09:28:27.313817,42.1,1.52,42.25,1.5233
2024-07-26 09:29:16.992294,42.23,1.52,41.25,1.5325
2024-07-26 09:30:03.069947,42.62,1.53,46.12,1.5247
2024-07-26 09:30:55.419506,44.45,1.51,46.12,1.5041
2024-07-26 09:31:43.140030,44.75,1.48,44.0,1.4865
2024-07-26 09:32:33.753655,46.12,1.48,46.38,1.4826
2024-07-26 09:33:24.140135,42.05,1.51,38.75,1.5285
2024-07-26 09:34:25.102950,44.85,1.49,42.88,1.4953
2024-07-26 09:35:17.006275,43.65,1.49,45.88,1.4807
2024-07-26 09:36:08.925234,37.88,1.56,35.88,1.5719
2024-07-26 09:36:57.006732,45.07,1.43,44.12,1.4485
2024-07-26 09:37:47.898977,43.88,1.45,43.38,1.4708
2024-07-26 09:38:41.990976,46.4,1.43,47.0,1.4298
2024-07-26 09:39:34.849857,42.95,1.47,43.0,1.4659
2024-07-26 09:40:24.587189,43.82,1.42,42.75,1.4416
2024-07-26 09:41:15.054125,44.38,1.48,46.12,1.4802
2024-07-26 09:42:03.071336,43.35,1.44,43.5,1.4534
2024-07-26 09:42:50.314773,44.2,1.46,42.5,1.4643
2024-07-26 09:44:01.435232,45.02,1.47,45.0,1.4671
2024-07-26 09:44:52.387215,43.48,1.47,41.12,1.4785
2024-07-26 09:45:38.304162,45.98,1.42,47.12,1.4287
2024-07-26 09:46:24.761329,43.0,1.48,42.25,1.4978
2024-07-26 09:47:13.649535,44.47,1.43,44.75,1.431
2024-07-26 09:47:59.525199,44.55,1.45,42.12,1.4672
2024-07-26 09:48:51.196092,45.88,1.46,45.5,1.4607
2024-07-26 09:49:38.067451,46.67,1.43,45.38,1.4574
2024-07-26 09:50:24.314119,47.0,1.43,46.25,1.431
2024-07-26 09:57:21.333164,43.33,1.47,42.88,1.4835
2024-07-26 09:59:39.145082,46.27,1.43,45.0,1.4398
2024-07-26 10:00:26.053632,44.67,1.46,47.25,1.4485
2024-07-26 10:01:16.505533,42.52,1.53,43.0,1.5626
2024-07-26 10:02:03.693548,48.58,1.42,49.75,1.4222
2024-07-26 10:02:52.293698,45.2,1.42,44.75,1.4522
2024-07-26 10:03:42.132269,46.48,1.43,47.12,1.447
2024-07-26 10:04:34.294495,44.27,1.5,42.25,1.5297
2024-07-26 10:05:25.646499,44.4,1.47,45.88,1.47
2024-07-26 10:06:16.744383,39.25,1.49,40.12,1.4972
2024-07-26 10:07:07.209017,44.62,1.46,46.62,1.4628
2024-07-26 10:09:13.978654,46.8,1.42,46.0,1.43
2024-07-26 10:11:37.086465,44.3,1.45,43.12,1.4645
2024-07-26 10:12:28.017319,49.08,1.41,48.62,1.4176
2024-07-26 10:13:15.768906,47.83,1.46,45.88,1.4683
2024-07-26 10:14:08.936131,50.85,1.36,48.0,1.3708
2024-07-26 10:14:59.982159,45.65,1.44,47.0,1.4361
2024-07-26 10:15:50.864061,51.1,1.38,50.88,1.3885
2024-07-26 10:16:40.965282,48.43,1.38,46.88,1.3959
2024-07-26 10:17:29.468796,52.05,1.35,50.0,1.3709
2024-07-26 10:18:25.256104,50.08,1.37,48.12,1.3764
2024-07-26 10:19:16.483543,51.25,1.37,50.88,1.3822
2024-07-26 10:20:06.285631,49.15,1.38,46.62,1.4083
2024-07-26 10:20:57.982427,51.0,1.34,48.75,1.3684
2024-07-26 10:21:47.300942,49.78,1.38,49.88,1.3911
2024-07-26 10:22:38.926001,49.33,1.39,47.75,1.3789
2024-07-26 10:23:30.857002,45.9,1.43,45.75,1.4365
2024-07-26 10:24:27.064324,44.92,1.45,43.38,1.4745
2024-07-26 10:29:34.162232,51.45,1.37,50.38,1.3733
2024-07-26 10:30:25.391480,47.4,1.41,46.38,1.4111
2024-07-26 10:31:13.400347,47.45,1.39,47.38,1.4053
2024-07-26 10:32:04.462239,46.3,1.39,45.0,1.4085
2024-07-26 10:32:58.906169,49.0,1.37,48.12,1.3816
2024-07-26 10:33:51.134943,49.75,1.38,48.5,1.4051
2024-07-26 10:34:42.088896,44.35,1.45,43.0,1.5058
2024-07-26 10:35:33.296698,50.4,1.35,48.88,1.3711
2024-07-26 10:40:13.259593,47.67,1.38,44.75,1.4136
2024-07-26 10:41:15.990119,50.92,1.37,50.38,1.3744
2024-07-26 10:42:06.136546,51.8,1.34,49.75,1.3698
