time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 10:42:59.484882,47.95,1.4,45.38,1.4039
2024-07-26 10:44:11.519146,50.22,1.4,49.12,1.3979
2024-07-26 10:45:22.698118,45.7,1.42,43.12,1.4418
2024-07-26 10:49:12.827323,47.95,1.4,48.5,1.4067
2024-07-26 10:50:21.901046,51.58,1.35,49.88,1.3583
2024-07-26 10:51:14.550005,44.27,1.44,42.75,1.4849
2024-07-26 10:52:11.061566,45.6,1.47,43.75,1.4796
2024-07-26 10:53:00.078491,48.77,1.38,47.62,1.3984
2024-07-26 10:53:51.397680,50.32,1.36,50.5,1.3701
2024-07-26 10:54:43.377203,50.18,1.38,48.75,1.4107
2024-07-26 10:55:36.056581,50.32,1.34,50.62,1.361
2024-07-26 10:56:26.697964,49.55,1.37,48.0,1.3864
2024-07-26 10:57:38.522217,49.68,1.34,49.25,1.3621
2024-07-26 11:03:11.279144,50.9,1.34,50.62,1.36
2024-07-26 11:05:34.893349,48.9,1.37,46.38,1.392
2024-07-26 11:06:35.093930,48.8,1.42,46.75,1.4363
2024-07-26 11:07:29.305783,49.15,1.37,47.88,1.3829
2024-07-26 11:08:23.667210,44.47,1.5,43.62,1.5035
2024-07-26 11:09:20.918686,47.75,1.41,48.75,1.4207
2024-07-26 11:10:27.830644,44.62,1.45,41.88,1.4637
2024-07-26 11:11:24.494868,48.27,1.39,47.5,1.4072
2024-07-26 11:12:25.972145,49.75,1.39,47.25,1.3967
2024-07-26 11:14:11.425183,46.85,1.38,44.12,1.4101
2024-07-26 11:15:06.036579,50.0,1.39,45.5,1.4125
2024-07-26 11:15:54.485921,50.05,1.37,48.75,1.3954
2024-07-26 11:16:41.625878,51.58,1.36,50.5,1.3745
2024-07-26 11:17:29.967129,50.52,1.36,49.75,1.3809
2024-07-26 11:18:18.100204,43.43,1.43,44.12,1.4517
2024-07-26 11:20:54.084272,48.9,1.36,46.75,1.3899
2024-07-26 11:26:18.779412,47.0,1.36,48.62,1.3718
2024-07-26 11:29:50.394742,49.08,1.41,46.25,1.4264
2024-07-26 11:30:32.058275,49.75,1.35,48.0,1.3753
2024-07-26 11:31:17.384265,49.93,1.37,46.25,1.3996
2024-07-26 11:32:06.891906,50.05,1.35,48.12,1.3721
