time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.571676,15.28,2.07,14.62,2.0735
2024-07-26 09:00:03.958635,30.45,2.0,28.75,2.0024
2024-07-26 09:02:41.145828,31.08,1.96,32.25,1.9641
2024-07-26 09:05:53.986243,33.67,1.65,33.38,1.6542
2024-07-26 09:06:42.905374,31.27,1.64,29.88,1.6579
2024-07-26 09:07:34.938710,35.33,1.62,35.75,1.618
2024-07-26 09:12:30.436513,24.75,1.85,24.0,1.8563
2024-07-26 09:13:31.185930,35.98,1.58,34.5,1.5848
2024-07-26 09:14:29.466511,37.45,1.58,36.5,1.5817
2024-07-26 09:15:19.449924,34.42,1.63,35.75,1.6221
2024-07-26 09:16:07.350935,37.25,1.59,37.38,1.5923
2024-07-26 09:16:52.592859,37.1,1.59,40.0,1.5807
2024-07-26 09:19:37.000683,40.17,1.57,42.25,1.5665
2024-07-26 09:22:04.528050,39.62,1.56,39.75,1.562
2024-07-26 09:23:10.630430,38.3,1.58,35.38,1.5858
2024-07-26 09:23:55.175115,39.57,1.57,39.0,1.5936
2024-07-26 09:24:34.809433,40.77,1.57,39.38,1.559
2024-07-26 09:25:19.463414,39.95,1.53,41.38,1.5439
2024-07-26 09:25:54.711819,43.15,1.51,43.25,1.5133
2024-07-26 09:26:31.081818,40.67,1.52,40.0,1.5301
2024-07-26 09:27:11.037216,43.48,1.5,42.25,1.5043
2024-07-26 09:27:52.922707,41.88,1.48,41.75,1.4872
2024-07-26 09:28:36.675537,44.32,1.5,44.62,1.5118
2024-07-26 09:29:24.140511,36.93,1.59,37.75,1.6054
2024-07-26 09:30:08.674850,43.6,1.51,44.75,1.5074
2024-07-26 09:30:58.565585,40.92,1.56,38.25,1.5714
2024-07-26 09:31:44.878807,41.58,1.5,43.75,1.5003
2024-07-26 09:32:34.475915,36.45,1.64,35.88,1.6584
2024-07-26 09:33:23.718732,40.6,1.52,40.12,1.5194
2024-07-26 09:34:23.640142,43.23,1.5,42.75,1.4912
2024-07-26 09:35:15.684693,40.62,1.54,39.25,1.5471
2024-07-26 09:36:07.489476,47.35,1.43,46.75,1.4312
2024-07-26 09:36:54.612590,48.23,1.42,48.88,1.4267
2024-07-26 09:37:45.631300,44.4,1.45,44.38,1.4801
2024-07-26 09:38:39.463160,47.02,1.42,47.5,1.4314
2024-07-26 09:39:32.409069,45.15,1.44,44.88,1.4376
2024-07-26 09:40:21.440492,46.23,1.46,47.62,1.4554
2024-07-26 09:41:11.468235,44.9,1.43,43.5,1.4483
2024-07-26 09:41:59.489126,41.9,1.52,40.0,1.5187
2024-07-26 09:42:46.461719,39.4,1.54,39.12,1.5669
2024-07-26 09:43:54.738525,46.75,1.46,46.75,1.4667
2024-07-26 09:44:48.439250,46.17,1.44,43.5,1.4525
2024-07-26 09:45:33.324503,43.4,1.5,42.5,1.503
2024-07-26 09:46:19.212657,44.17,1.45,44.12,1.4579
2024-07-26 09:47:07.106646,48.15,1.45,45.75,1.4618
2024-07-26 09:47:52.148778,42.73,1.47,41.5,1.4903
2024-07-26 09:48:41.270169,43.6,1.51,44.12,1.5142
2024-07-26 09:49:28.941002,41.42,1.53,40.62,1.5682
2024-07-26 09:50:12.923939,45.82,1.43,45.5,1.4351
2024-07-26 09:56:14.317072,46.8,1.44,48.12,1.4438
2024-07-26 09:59:16.627920,47.77,1.41,47.5,1.4239
2024-07-26 09:59:58.381230,44.98,1.45,43.62,1.4632
2024-07-26 10:00:41.926988,44.27,1.44,43.0,1.4492
2024-07-26 10:01:27.583267,47.65,1.4,47.62,1.4171
2024-07-26 10:02:10.994709,45.73,1.46,46.38,1.4662
2024-07-26 10:02:57.930638,45.0,1.45,45.88,1.4627
2024-07-26 10:03:45.603711,45.48,1.45,44.5,1.4549
2024-07-26 10:04:37.281898,49.08,1.41,48.62,1.4249
2024-07-26 10:05:27.428226,46.55,1.43,45.38,1.4453
2024-07-26 10:06:17.417014,47.38,1.43,46.88,1.4421
2024-07-26 10:07:07.049344,46.98,1.42,48.25,1.4354
2024-07-26 10:09:10.022097,44.92,1.49,45.0,1.4927
2024-07-26 10:11:35.941448,46.83,1.44,47.75,1.4387
2024-07-26 10:12:26.222781,48.0,1.43,48.88,1.4411
2024-07-26 10:13:13.696001,47.25,1.4,46.0,1.4295
2024-07-26 10:14:06.602737,50.05,1.37,49.25,1.3796
2024-07-26 10:14:56.165958,47.77,1.39,47.62,1.407
2024-07-26 10:15:46.979436,47.8,1.39,45.38,1.4242
2024-07-26 10:16:35.786865,46.85,1.43,47.25,1.4407
2024-07-26 10:17:24.706483,49.02,1.4,48.25,1.4016
2024-07-26 10:18:18.250138,48.85,1.37,48.12,1.4059
2024-07-26 10:19:07.409300,50.7,1.34,50.88,1.3543
2024-07-26 10:19:55.665744,52.42,1.34,51.25,1.3571
2024-07-26 10:20:44.688723,48.73,1.39,47.75,1.3979
2024-07-26 10:21:30.506934,48.73,1.38,47.0,1.4028
2024-07-26 10:22:15.514478,51.02,1.35,49.62,1.3773
2024-07-26 10:23:00.655920,44.8,1.43,42.62,1.4683
2024-07-26 10:23:47.150871,47.05,1.42,46.5,1.4266
2024-07-26 10:24:40.623012,48.65,1.39,48.5,1.3961
2024-07-26 10:29:44.472518,45.4,1.41,45.75,1.429
2024-07-26 10:30:30.665767,48.9,1.38,46.38,1.3988
2024-07-26 10:31:17.612162,46.85,1.4,45.88,1.4295
2024-07-26 10:32:08.034044,47.27,1.39,44.88,1.4268
2024-07-26 10:33:00.924757,47.27,1.4,44.75,1.4218
2024-07-26 10:33:52.432779,45.98,1.44,46.25,1.4341
2024-07-26 10:34:42.126943,46.55,1.48,45.0,1.4966
2024-07-26 10:35:32.465254,47.35,1.43,46.25,1.4542
2024-07-26 10:40:11.847684,47.67,1.36,46.88,1.3807
2024-07-26 10:41:13.696988,48.93,1.39,46.25,1.4151
2024-07-26 10:42:03.172505,46.55,1.42,44.75,1.4302
2024-07-26 10:42:55.696514,48.85,1.39,45.88,1.4233
