time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 10:52:54.271412,49.08,1.4,48.5,1.3937
2024-07-26 10:53:45.926038,51.55,1.34,52.62,1.3493
2024-07-26 10:54:38.343689,48.23,1.41,45.88,1.4261
2024-07-26 10:55:31.580182,47.95,1.4,46.62,1.4319
2024-07-26 10:56:22.585158,47.42,1.41,44.25,1.4379
2024-07-26 10:57:15.827480,51.88,1.36,50.75,1.3698
2024-07-26 11:02:49.791919,50.25,1.36,50.38,1.3699
2024-07-26 11:05:32.857326,51.55,1.34,51.12,1.3646
2024-07-26 11:06:32.515897,42.4,1.44,42.0,1.4559
2024-07-26 11:07:26.664483,48.85,1.38,48.5,1.3904
2024-07-26 11:08:20.341489,50.15,1.38,48.88,1.3836
2024-07-26 11:09:15.493423,51.1,1.35,49.12,1.3796
2024-07-26 11:10:21.985612,47.62,1.39,45.88,1.4089
2024-07-26 11:11:18.188494,48.65,1.38,46.12,1.4076
2024-07-26 11:12:19.368478,47.05,1.4,45.0,1.4323
2024-07-26 11:13:36.258237,48.4,1.38,48.25,1.4006
2024-07-26 11:14:58.241144,44.75,1.45,42.62,1.4778
2024-07-26 11:15:46.031973,48.48,1.38,45.25,1.4081
2024-07-26 11:16:32.527540,49.65,1.38,48.62,1.4053
2024-07-26 11:17:20.044119,47.83,1.39,46.75,1.4142
2024-07-26 11:18:07.928815,49.65,1.36,48.25,1.384
2024-07-26 11:19:40.451082,49.02,1.42,47.0,1.4251
2024-07-26 11:24:54.186699,49.25,1.38,48.5,1.3857
2024-07-26 11:28:43.737111,49.33,1.36,48.38,1.3989
2024-07-26 11:30:15.983741,47.02,1.41,45.88,1.4109
2024-07-26 11:31:01.327311,42.33,1.48,42.75,1.4887
2024-07-26 11:31:47.859159,50.88,1.35,50.62,1.3712
