time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.708225,21.52,2.07,20.75,2.0739
2024-07-26 09:00:04.527496,20.67,1.98,19.62,1.9826
2024-07-26 09:02:51.157906,27.5,1.95,28.5,1.9459
2024-07-26 09:05:55.458898,36.48,1.62,35.75,1.6293
2024-07-26 09:06:44.502823,35.05,1.63,35.5,1.6272
2024-07-26 09:07:36.360576,36.27,1.62,36.38,1.6309
2024-07-26 09:12:33.443704,31.42,1.67,31.62,1.6746
2024-07-26 09:13:34.538592,39.2,1.55,38.75,1.5497
2024-07-26 09:14:33.078118,37.2,1.61,38.88,1.602
2024-07-26 09:15:23.416018,39.48,1.58,40.12,1.5814
2024-07-26 09:16:12.318423,37.65,1.58,37.0,1.5747
2024-07-26 09:16:58.202491,35.08,1.6,35.62,1.5905
2024-07-26 09:19:43.071971,34.23,1.61,36.75,1.607
2024-07-26 09:22:11.566907,37.75,1.56,37.38,1.5623
2024-07-26 09:23:19.241030,37.0,1.62,38.0,1.6162
2024-07-26 09:24:04.056475,40.98,1.56,43.0,1.5552
2024-07-26 09:24:45.395816,45.48,1.48,45.62,1.476
2024-07-26 09:25:32.861047,38.38,1.53,38.75,1.5328
2024-07-26 09:26:12.421666,41.42,1.49,40.62,1.4942
2024-07-26 09:26:55.362844,40.67,1.54,41.5,1.5308
2024-07-26 09:27:38.221071,41.58,1.5,43.0,1.5022
2024-07-26 09:28:25.662032,43.08,1.48,44.75,1.4861
2024-07-26 09:29:15.570985,45.02,1.49,44.75,1.4947
2024-07-26 09:30:01.127996,44.77,1.51,47.88,1.4945
2024-07-26 09:30:53.018648,44.88,1.5,42.75,1.5037
2024-07-26 09:31:41.033044,44.32,1.49,43.25,1.5064
2024-07-26 09:32:31.256494,45.25,1.49,45.0,1.485
2024-07-26 09:33:21.827398,41.52,1.49,40.88,1.4857
2024-07-26 09:34:22.237936,44.7,1.48,47.25,1.4708
2024-07-26 09:35:14.380563,41.73,1.52,40.75,1.522
2024-07-26 09:36:06.536368,40.8,1.51,42.25,1.5014
2024-07-26 09:36:54.079647,45.0,1.44,44.62,1.4524
2024-07-26 09:37:45.197221,47.85,1.42,44.88,1.4394
2024-07-26 09:38:39.375440,47.3,1.45,45.88,1.46
2024-07-26 09:39:32.558803,45.27,1.42,46.38,1.4318
2024-07-26 09:40:21.650800,45.75,1.45,43.0,1.4606
2024-07-26 09:41:12.133932,42.58,1.48,42.0,1.4861
2024-07-26 09:42:00.458689,47.45,1.42,46.25,1.4408
2024-07-26 09:42:47.821915,46.12,1.44,46.25,1.4426
2024-07-26 09:43:57.639083,46.15,1.43,44.12,1.4516
2024-07-26 09:44:50.553924,45.92,1.47,43.75,1.4774
2024-07-26 09:45:36.157231,46.23,1.44,45.38,1.4701
2024-07-26 09:46:22.583968,44.15,1.46,42.88,1.4697
2024-07-26 09:47:11.141020,47.93,1.46,46.5,1.4573
2024-07-26 09:47:57.047533,45.98,1.45,46.0,1.4568
