time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.750259,21.5,2.07,19.62,2.0731
2024-07-26 09:00:04.797500,27.8,1.98,25.75,1.9833
2024-07-26 09:02:54.385361,27.75,1.96,27.88,1.9585
2024-07-26 09:05:55.792419,32.32,1.69,29.5,1.7048
2024-07-26 09:06:44.959020,37.4,1.61,35.75,1.6167
2024-07-26 09:07:37.281276,30.83,1.74,31.37,1.7348
2024-07-26 09:12:35.056732,31.23,1.72,31.37,1.7067
2024-07-26 09:13:35.603983,37.05,1.58,38.0,1.5746
2024-07-26 09:14:33.664759,37.15,1.61,35.88,1.6105
2024-07-26 09:15:24.214326,38.07,1.58,37.75,1.5774
2024-07-26 09:16:13.072124,42.12,1.54,40.88,1.5435
2024-07-26 09:16:59.102801,39.6,1.54,40.38,1.5503
2024-07-26 09:19:43.901331,38.27,1.61,40.12,1.601
2024-07-26 09:22:12.440154,38.57,1.58,38.25,1.5752
2024-07-26 09:23:20.591231,38.32,1.58,42.12,1.5689
2024-07-26 09:24:04.987897,46.02,1.49,46.5,1.4937
2024-07-26 09:24:46.902617,44.88,1.51,47.0,1.4986
2024-07-26 09:25:34.239283,42.7,1.51,42.0,1.5039
2024-07-26 09:26:13.627462,40.6,1.52,40.5,1.5259
2024-07-26 09:26:56.484276,42.75,1.5,40.38,1.5081
2024-07-26 09:27:39.561471,40.42,1.57,42.25,1.5585
2024-07-26 09:28:27.032017,43.48,1.49,42.12,1.5068
2024-07-26 09:29:16.496792,39.52,1.51,38.25,1.5287
2024-07-26 09:30:02.243549,41.25,1.5,39.62,1.5162
2024-07-26 09:30:53.901048,43.97,1.53,46.25,1.5118
2024-07-26 09:31:42.024594,40.4,1.5,40.0,1.5067
2024-07-26 09:32:32.605269,38.38,1.53,39.5,1.5416
2024-07-26 09:33:23.002865,41.6,1.5,42.75,1.5003
2024-07-26 09:34:23.454368,43.15,1.52,45.12,1.5089
2024-07-26 09:35:15.695209,42.95,1.49,43.38,1.4916
2024-07-26 09:36:07.687190,43.33,1.5,44.12,1.4959
2024-07-26 09:36:55.503317,43.73,1.46,44.5,1.4642
2024-07-26 09:37:46.695317,45.92,1.46,45.12,1.4838
2024-07-26 09:38:40.649042,44.32,1.51,43.38,1.5052
2024-07-26 09:39:33.951560,47.77,1.42,46.38,1.4305
2024-07-26 09:40:23.181096,44.35,1.48,42.62,1.4924
2024-07-26 09:41:13.360142,44.6,1.45,42.75,1.4723
2024-07-26 09:42:01.806910,45.15,1.44,44.5,1.4556
2024-07-26 09:42:49.066347,48.02,1.42,49.0,1.4238
2024-07-26 09:43:59.007223,48.83,1.42,47.75,1.4268
2024-07-26 09:44:51.060943,47.25,1.42,47.0,1.4177
2024-07-26 09:45:36.706052,46.35,1.45,47.12,1.4625
2024-07-26 09:46:22.997014,46.55,1.46,45.0,1.4814
2024-07-26 09:47:11.509211,46.45,1.43,45.0,1.4534
2024-07-26 09:47:57.631613,46.42,1.46,44.88,1.4597
2024-07-26 09:48:49.622894,46.1,1.45,46.0,1.4637
2024-07-26 09:49:36.824720,46.75,1.45,46.25,1.4725
2024-07-26 09:50:22.996626,38.92,1.52,39.25,1.539
2024-07-26 09:57:14.708934,43.08,1.47,40.75,1.5059
2024-07-26 09:59:38.488965,45.77,1.44,47.25,1.4395
2024-07-26 10:00:25.496291,45.62,1.42,45.62,1.4354
2024-07-26 10:01:15.808797,46.0,1.44,45.62,1.466
2024-07-26 10:02:02.748154,45.0,1.46,44.75,1.4776
2024-07-26 10:02:51.026563,44.05,1.48,42.25,1.4735
2024-07-26 10:03:40.917937,44.05,1.45,45.0,1.4408
2024-07-26 10:04:32.623920,46.6,1.44,45.25,1.4535
2024-07-26 10:05:24.220120,44.02,1.47,43.75,1.4795
2024-07-26 10:06:14.856270,45.25,1.46,46.38,1.479
2024-07-26 10:07:05.855811,46.02,1.44,47.0,1.4416
2024-07-26 10:08:56.933485,46.15,1.45,45.62,1.4519
2024-07-26 10:11:35.829929,45.88,1.45,45.38,1.4636
2024-07-26 10:12:27.295580,48.6,1.39,48.88,1.3938
2024-07-26 10:13:15.295585,46.23,1.42,46.75,1.4245
2024-07-26 10:14:08.390656,49.58,1.36,48.62,1.3734
2024-07-26 10:14:59.118088,48.05,1.39,47.5,1.4044
2024-07-26 10:15:50.066829,50.42,1.38,49.25,1.4006
2024-07-26 10:16:39.971670,50.98,1.38,46.25,1.3899
2024-07-26 10:17:28.821434,48.62,1.36,46.75,1.3962
2024-07-26 10:18:24.724662,47.7,1.38,46.88,1.3862
2024-07-26 10:19:15.583586,46.45,1.43,46.25,1.4481
2024-07-26 10:20:05.330179,50.38,1.38,48.62,1.3932
2024-07-26 10:20:56.627726,47.55,1.39,46.38,1.418
2024-07-26 10:21:46.325776,50.18,1.35,50.38,1.3542
2024-07-26 10:22:37.885221,46.3,1.42,46.38,1.4552
2024-07-26 10:23:29.955756,47.93,1.41,46.75,1.4527
2024-07-26 10:24:25.832582,50.62,1.36,47.88,1.3926
2024-07-26 10:29:33.447442,46.6,1.41,46.62,1.4112
2024-07-26 10:30:24.859353,48.4,1.37,46.88,1.4014
2024-07-26 10:31:13.042960,49.48,1.39,48.62,1.4043
2024-07-26 10:32:03.936927,47.98,1.38,45.88,1.3969
2024-07-26 10:32:58.300014,48.9,1.39,45.88,1.398
2024-07-26 10:33:50.594819,47.02,1.39,45.62,1.4065
2024-07-26 10:34:41.283023,49.15,1.36,49.38,1.3733
2024-07-26 10:35:32.553836,50.28,1.38,49.75,1.3968
2024-07-26 10:40:12.983060,49.4,1.37,48.38,1.3843
2024-07-26 10:41:15.857918,48.12,1.39,49.12,1.3941
2024-07-26 10:42:05.870551,48.88,1.37,47.5,1.3914
2024-07-26 10:42:58.851604,51.5,1.35,50.38,1.3686
2024-07-26 10:44:05.936176,51.85,1.38,50.88,1.3817
2024-07-26 10:45:22.162745,45.73,1.41,47.88,1.4138
2024-07-26 10:49:12.529695,49.7,1.37,48.0,1.3988
2024-07-26 10:50:21.676714,48.05,1.39,48.12,1.4053
2024-07-26 10:51:13.875677,44.3,1.44,43.62,1.4439
2024-07-26 10:52:10.571288,50.18,1.36,47.62,1.3824
2024-07-26 10:52:59.251259,46.15,1.42,46.25,1.4377
2024-07-26 10:53:50.417990,44.05,1.48,44.38,1.4881
2024-07-26 10:54:42.252993,46.1,1.39,44.12,1.4116
2024-07-26 10:55:34.913854,47.15,1.42,47.75,1.4232
2024-07-26 10:56:25.390647,48.7,1.37,48.0,1.3984
2024-07-26 10:57:31.965391,48.95,1.41,48.62,1.4195
2024-07-26 11:03:11.347706,48.15,1.39,47.0,1.3995
2024-07-26 11:05:34.764664,51.38,1.35,51.88,1.3636
2024-07-26 11:06:34.894002,50.75,1.38,48.25,1.3859
2024-07-26 11:07:29.057620,47.35,1.42,46.62,1.4292
2024-07-26 11:08:23.341747,50.4,1.34,49.62,1.3596
2024-07-26 11:09:20.177634,48.77,1.36,47.62,1.3815
2024-07-26 11:10:27.383580,46.5,1.4,45.25,1.4239
2024-07-26 11:11:24.076322,48.6,1.39,48.88,1.4051
2024-07-26 11:12:25.544733,47.98,1.4,45.25,1.4416
2024-07-26 11:14:11.376118,49.25,1.37,48.25,1.4087
2024-07-26 11:15:06.195838,45.65,1.41,45.5,1.429
2024-07-26 11:15:54.577008,48.15,1.38,47.12,1.4196
2024-07-26 11:16:41.756439,51.62,1.35,50.12,1.3578
2024-07-26 11:17:29.751825,45.12,1.46,44.5,1.4578
2024-07-26 11:18:17.839535,50.22,1.34,48.5,1.3671
2024-07-26 11:20:51.365580,51.28,1.35,48.88,1.3639
2024-07-26 11:26:18.584906,47.62,1.4,44.88,1.4243
2024-07-26 11:29:50.626595,51.5,1.34,51.25,1.3489
2024-07-26 11:30:31.981198,48.0,1.37,46.62,1.39
2024-07-26 11:31:16.991769,45.7,1.43,43.88,1.4618
2024-07-26 11:32:05.956691,47.95,1.39,47.62,1.4065
