time,training_accuracy,training_loss,test_accuracy,test_loss
2024-07-26 08:58:52.546697,18.2,2.07,17.38,2.0731
2024-07-26 09:00:04.043836,29.33,1.99,27.12,1.9875
2024-07-26 09:02:40.993168,29.9,1.95,29.75,1.9528
2024-07-26 09:05:54.236913,33.05,1.67,34.0,1.6795
2024-07-26 09:06:43.281149,37.52,1.62,36.5,1.6315
2024-07-26 09:07:35.623483,36.12,1.61,34.25,1.6209
2024-07-26 09:12:31.525466,37.92,1.62,35.25,1.6289
2024-07-26 09:13:32.647060,37.15,1.59,37.5,1.5755
2024-07-26 09:14:31.379917,37.05,1.59,36.75,1.5824
2024-07-26 09:15:21.893998,38.9,1.55,38.75,1.5555
2024-07-26 09:16:10.639292,37.62,1.57,38.0,1.574
2024-07-26 09:16:56.449755,36.48,1.6,37.5,1.6111
2024-07-26 09:19:41.470243,34.4,1.59,34.38,1.5919
2024-07-26 09:22:09.734406,38.85,1.56,40.25,1.5619
2024-07-26 09:23:16.997630,37.3,1.57,38.12,1.5746
2024-07-26 09:24:02.318154,42.02,1.5,42.12,1.5034
2024-07-26 09:24:43.775504,40.12,1.52,40.0,1.5158
2024-07-26 09:25:31.468281,45.42,1.48,46.62,1.4773
2024-07-26 09:26:11.137402,42.93,1.48,44.5,1.4796
2024-07-26 09:26:54.118326,38.95,1.56,39.38,1.5657
2024-07-26 09:27:37.183393,40.73,1.52,40.5,1.5123
2024-07-26 09:28:24.752129,42.68,1.55,41.62,1.5545
2024-07-26 09:29:14.505334,44.35,1.49,43.88,1.4936
2024-07-26 09:29:59.991214,44.67,1.48,43.5,1.4784
2024-07-26 09:30:51.637283,44.38,1.49,43.12,1.5052
2024-07-26 09:31:39.852295,42.12,1.5,40.75,1.5186
2024-07-26 09:32:30.258806,39.27,1.55,40.5,1.5425
2024-07-26 09:33:20.763135,43.12,1.47,42.75,1.477
2024-07-26 09:34:21.466125,43.7,1.5,43.38,1.4976
2024-07-26 09:35:13.695034,41.12,1.54,40.62,1.5319
2024-07-26 09:36:05.692990,43.33,1.49,43.5,1.4847
2024-07-26 09:36:53.202752,43.1,1.5,43.62,1.5184
2024-07-26 09:37:44.458764,44.57,1.48,42.25,1.4873
2024-07-26 09:38:38.712600,45.1,1.48,45.12,1.4776
2024-07-26 09:39:31.883357,48.5,1.42,48.25,1.4299
2024-07-26 09:40:21.127573,48.48,1.42,48.62,1.4341
2024-07-26 09:41:11.498766,46.0,1.43,47.0,1.4325
2024-07-26 09:41:59.676424,43.5,1.46,43.0,1.4766
2024-07-26 09:42:46.872868,42.6,1.52,44.0,1.5173
2024-07-26 09:43:56.421701,43.9,1.47,44.0,1.4646
2024-07-26 09:44:49.674257,46.95,1.44,46.25,1.4322
2024-07-26 09:45:35.061538,46.02,1.47,46.0,1.4791
2024-07-26 09:46:21.746886,47.1,1.42,45.88,1.4304
2024-07-26 09:47:10.163587,43.62,1.5,43.88,1.5025
2024-07-26 09:47:56.268155,42.2,1.51,41.38,1.5236
2024-07-26 09:48:47.340310,46.9,1.43,46.75,1.4484
2024-07-26 09:49:35.234300,41.35,1.47,41.62,1.4614
2024-07-26 09:50:21.172342,41.52,1.47,39.38,1.4898
2024-07-26 09:56:57.084570,45.62,1.45,44.5,1.4708
2024-07-26 09:59:36.210411,44.98,1.47,44.25,1.4666
2024-07-26 10:00:23.261947,46.7,1.42,46.25,1.4277
2024-07-26 10:01:13.408219,45.95,1.43,46.75,1.4343
2024-07-26 10:02:01.054141,46.75,1.41,47.0,1.4228
2024-07-26 10:02:49.469765,45.17,1.44,46.0,1.4373
2024-07-26 10:03:39.675226,46.67,1.43,44.75,1.4368
2024-07-26 10:04:31.558347,42.77,1.48,41.0,1.4877
2024-07-26 10:05:23.445658,48.95,1.4,48.88,1.4162
2024-07-26 10:06:14.303633,46.25,1.46,48.25,1.4563
2024-07-26 10:07:05.481336,49.35,1.42,48.12,1.4217
2024-07-26 10:08:53.714121,47.45,1.45,47.75,1.4506
2024-07-26 10:11:34.943529,47.67,1.42,47.5,1.4264
2024-07-26 10:12:25.775820,48.65,1.39,47.62,1.4162
2024-07-26 10:13:13.663490,48.85,1.41,48.88,1.4154
2024-07-26 10:14:06.888980,47.8,1.4,45.88,1.4131
2024-07-26 10:14:57.066373,48.8,1.37,46.88,1.3963
2024-07-26 10:15:48.233151,49.0,1.39,48.38,1.4026
2024-07-26 10:16:37.950815,48.38,1.39,47.0,1.4284
2024-07-26 10:17:27.018652,51.35,1.37,49.12,1.3874
2024-07-26 10:18:22.493825,51.45,1.35,48.62,1.3678
2024-07-26 10:19:13.040655,49.53,1.37,49.75,1.3831
2024-07-26 10:20:02.874932,50.6,1.35,48.0,1.3748
2024-07-26 10:20:54.274222,49.2,1.4,46.88,1.4122
2024-07-26 10:21:43.999472,48.93,1.39,46.88,1.4128
2024-07-26 10:22:35.564174,48.08,1.37,44.75,1.4015
2024-07-26 10:23:27.854561,50.48,1.36,49.75,1.3675
2024-07-26 10:24:23.413244,44.67,1.46,45.0,1.4653
2024-07-26 10:29:29.381963,50.68,1.35,48.25,1.3688
2024-07-26 10:30:21.151402,49.98,1.37,48.25,1.3722
2024-07-26 10:31:09.697058,46.67,1.43,46.25,1.4375
2024-07-26 10:32:00.436574,49.25,1.38,47.75,1.3842
2024-07-26 10:32:55.281365,51.35,1.35,49.88,1.371
2024-07-26 10:33:47.561522,48.38,1.4,47.5,1.4185
2024-07-26 10:34:38.563067,50.52,1.38,48.0,1.3998
2024-07-26 10:35:29.611356,51.25,1.34,50.38,1.3575
2024-07-26 10:40:07.274740,50.52,1.37,48.88,1.3888
2024-07-26 10:41:09.620197,50.9,1.35,48.62,1.3761
2024-07-26 10:42:00.263616,47.45,1.4,47.88,1.4147
2024-07-26 10:42:52.730261,50.25,1.37,49.0,1.3874
2024-07-26 10:43:43.094507,49.35,1.37,48.75,1.3973
2024-07-26 10:45:15.983563,49.75,1.36,48.25,1.3837
2024-07-26 10:49:03.187708,48.83,1.38,46.62,1.404
2024-07-26 10:50:10.677391,44.77,1.45,43.88,1.4982
2024-07-26 10:51:04.155067,48.02,1.41,47.0,1.4204
2024-07-26 10:52:01.155126,46.52,1.42,46.75,1.4167
2024-07-26 10:52:51.759771,48.65,1.38,47.5,1.3897
2024-07-26 10:53:43.742196,49.9,1.36,48.5,1.3769
2024-07-26 10:54:36.272482,47.4,1.4,45.25,1.4208
2024-07-26 10:55:29.445157,48.93,1.36,47.38,1.3751
2024-07-26 10:56:20.895369,47.05,1.43,44.12,1.4529
2024-07-26 10:57:13.569969,47.15,1.4,45.75,1.4399
2024-07-26 11:02:42.635425,50.68,1.35,49.75,1.3675
2024-07-26 11:05:31.143492,48.73,1.36,46.88,1.3774
2024-07-26 11:06:31.254550,49.12,1.39,47.25,1.4164
2024-07-26 11:07:25.948993,47.1,1.4,46.88,1.4236
2024-07-26 11:08:19.924848,49.0,1.39,49.5,1.3955
2024-07-26 11:09:15.543484,48.9,1.38,48.38,1.3935
2024-07-26 11:10:22.131237,49.0,1.38,47.0,1.387
2024-07-26 11:11:18.612432,47.8,1.39,45.75,1.416
2024-07-26 11:12:20.080774,48.23,1.41,46.12,1.4298
2024-07-26 11:13:37.479146,49.95,1.35,48.0,1.3798
2024-07-26 11:14:59.618948,50.55,1.35,50.75,1.3597
2024-07-26 11:15:48.108937,50.28,1.35,48.75,1.3653
2024-07-26 11:16:35.117497,50.9,1.34,50.12,1.3608
2024-07-26 11:17:23.591754,48.43,1.38,47.75,1.3909
2024-07-26 11:18:12.382518,45.98,1.39,44.62,1.4089
2024-07-26 11:20:26.591804,50.78,1.37,50.62,1.3725
2024-07-26 11:25:42.336934,46.62,1.41,46.12,1.4423
2024-07-26 11:29:30.360060,43.88,1.47,44.38,1.4898
2024-07-26 11:30:20.552904,51.0,1.37,49.38,1.3853
2024-07-26 11:31:07.329241,49.68,1.36,48.5,1.385
2024-07-26 11:31:54.657896,44.15,1.44,45.0,1.4443
