time,start_or_stop
2024-07-26 10:35:32.554840,STOP
2024-07-26 10:35:32.580365,START
2024-07-26 10:40:12.984563,STOP
2024-07-26 10:40:13.027628,START
2024-07-26 10:41:15.858919,STOP
2024-07-26 10:41:15.886453,START
2024-07-26 10:42:05.871553,STOP
2024-07-26 10:42:05.894572,START
2024-07-26 10:42:58.853606,STOP
2024-07-26 10:42:58.886236,START
2024-07-26 10:44:05.937185,STOP
2024-07-26 10:44:06.029964,START
2024-07-26 10:45:22.163745,STOP
2024-07-26 10:45:22.219813,START
2024-07-26 10:49:12.531694,STOP
2024-07-26 10:49:12.561755,START
2024-07-26 10:50:21.678718,STOP
2024-07-26 10:50:21.715762,START
2024-07-26 10:51:13.877677,STOP
2024-07-26 10:51:13.930231,START
2024-07-26 10:52:10.572287,STOP
2024-07-26 10:52:10.598819,START
2024-07-26 10:52:59.253259,STOP
2024-07-26 10:52:59.281791,START
2024-07-26 10:53:50.419999,STOP
2024-07-26 10:53:50.446020,START
2024-07-26 10:54:42.253993,STOP
2024-07-26 10:54:42.288524,START
2024-07-26 10:55:34.913854,STOP
2024-07-26 10:55:34.930368,START
2024-07-26 10:56:25.392647,STOP
2024-07-26 10:56:25.419173,START
2024-07-26 10:57:31.965391,STOP
2024-07-26 10:57:32.031975,START
2024-07-26 11:03:11.347706,STOP
2024-07-26 11:03:11.382739,START
2024-07-26 11:05:34.766668,STOP
2024-07-26 11:05:34.792692,START
2024-07-26 11:06:34.895001,STOP
2024-07-26 11:06:34.920029,START
2024-07-26 11:07:29.059122,STOP
2024-07-26 11:07:29.113180,START
2024-07-26 11:08:23.342747,STOP
2024-07-26 11:08:23.374784,START
2024-07-26 11:09:20.179638,STOP
2024-07-26 11:09:20.208774,START
2024-07-26 11:10:27.385579,STOP
2024-07-26 11:10:27.419617,START
2024-07-26 11:11:24.077321,STOP
2024-07-26 11:11:24.126863,START
2024-07-26 11:12:25.544733,STOP
2024-07-26 11:12:25.570755,START
2024-07-26 11:14:11.376118,STOP
2024-07-26 11:14:11.401654,START
2024-07-26 11:15:06.195838,STOP
2024-07-26 11:15:06.243378,START
2024-07-26 11:15:54.577008,STOP
2024-07-26 11:15:54.614042,START
2024-07-26 11:16:41.757942,STOP
2024-07-26 11:16:41.785972,START
2024-07-26 11:17:29.752826,STOP
2024-07-26 11:17:29.780356,START
2024-07-26 11:18:17.842047,STOP
2024-07-26 11:18:17.908744,START
2024-07-26 11:20:51.365580,STOP
2024-07-26 11:20:51.471454,START
2024-07-26 11:26:18.585907,STOP
2024-07-26 11:26:18.619828,START
2024-07-26 11:29:50.626595,STOP
2024-07-26 11:29:50.661632,START
2024-07-26 11:30:31.982201,STOP
2024-07-26 11:30:32.046762,START
2024-07-26 11:31:16.993773,STOP
2024-07-26 11:31:17.019302,START
2024-07-26 11:32:05.956691,STOP
2024-07-26 11:32:06.051708,START
