time,start_or_stop
2024-07-26 08:54:38.452492,START
2024-07-26 08:58:52.709231,STOP
2024-07-26 08:59:12.732208,START
2024-07-26 09:00:04.528496,STOP
2024-07-26 09:00:04.571034,START
2024-07-26 09:02:51.157906,STOP
2024-07-26 09:02:51.302842,START
2024-07-26 09:05:55.458898,STOP
2024-07-26 09:05:55.492933,START
2024-07-26 09:06:44.502823,STOP
2024-07-26 09:06:44.521339,START
2024-07-26 09:07:36.362212,STOP
2024-07-26 09:07:36.383099,START
2024-07-26 09:12:33.445707,STOP
2024-07-26 09:12:33.464726,START
2024-07-26 09:13:34.539591,STOP
2024-07-26 09:13:34.558611,START
2024-07-26 09:14:33.079123,STOP
2024-07-26 09:14:33.117154,START
2024-07-26 09:15:23.418017,STOP
2024-07-26 09:15:23.462874,START
2024-07-26 09:16:12.319426,STOP
2024-07-26 09:16:12.340443,START
2024-07-26 09:16:58.204084,STOP
2024-07-26 09:16:58.222016,START
2024-07-26 09:19:43.072974,STOP
2024-07-26 09:19:43.094994,START
2024-07-26 09:22:11.566907,STOP
2024-07-26 09:22:11.600941,START
2024-07-26 09:23:19.241030,STOP
2024-07-26 09:23:19.278063,START
2024-07-26 09:24:04.057475,STOP
2024-07-26 09:24:04.112520,START
2024-07-26 09:24:45.396819,STOP
2024-07-26 09:24:45.435848,START
2024-07-26 09:25:32.862047,STOP
2024-07-26 09:25:32.881185,START
2024-07-26 09:26:12.422169,STOP
2024-07-26 09:26:12.441190,START
2024-07-26 09:26:55.363844,STOP
2024-07-26 09:26:55.383870,START
2024-07-26 09:27:38.222072,STOP
2024-07-26 09:27:38.244211,START
2024-07-26 09:28:25.662032,STOP
2024-07-26 09:28:25.681556,START
2024-07-26 09:29:15.571988,STOP
2024-07-26 09:29:15.593006,START
2024-07-26 09:30:01.128997,STOP
2024-07-26 09:30:01.147011,START
2024-07-26 09:30:53.018648,STOP
2024-07-26 09:30:53.036666,START
2024-07-26 09:31:41.034547,STOP
2024-07-26 09:31:41.052061,START
2024-07-26 09:32:31.257497,STOP
2024-07-26 09:32:31.277516,START
2024-07-26 09:33:21.827398,STOP
2024-07-26 09:33:21.846416,START
2024-07-26 09:34:22.238936,STOP
2024-07-26 09:34:22.259456,START
2024-07-26 09:35:14.380563,STOP
2024-07-26 09:35:14.417597,START
2024-07-26 09:36:06.537371,STOP
2024-07-26 09:36:06.561390,START
2024-07-26 09:36:54.080648,STOP
2024-07-26 09:36:54.110675,START
2024-07-26 09:37:45.197221,STOP
2024-07-26 09:37:45.219248,START
2024-07-26 09:38:39.376440,STOP
2024-07-26 09:38:39.398456,START
2024-07-26 09:39:32.559803,STOP
2024-07-26 09:39:32.581822,START
2024-07-26 09:40:21.651801,STOP
2024-07-26 09:40:21.696938,START
2024-07-26 09:41:12.134933,STOP
2024-07-26 09:41:12.157453,START
2024-07-26 09:42:00.459689,STOP
2024-07-26 09:42:00.479303,START
2024-07-26 09:42:47.822915,STOP
2024-07-26 09:42:47.852439,START
2024-07-26 09:43:57.647084,STOP
2024-07-26 09:43:57.695108,START
2024-07-26 09:44:50.554924,STOP
2024-07-26 09:44:50.575924,START
2024-07-26 09:45:36.157231,STOP
2024-07-26 09:45:36.192231,START
2024-07-26 09:46:22.583968,STOP
2024-07-26 09:46:22.620969,START
2024-07-26 09:47:11.142020,STOP
2024-07-26 09:47:11.161020,START
2024-07-26 09:47:57.048533,STOP
2024-07-26 09:47:57.091533,START
2024-07-26 09:48:48.342434,STOP
2024-07-26 09:48:48.366439,START
2024-07-26 09:49:36.341907,STOP
2024-07-26 09:49:36.361911,START
2024-07-26 09:50:22.208614,STOP
2024-07-26 09:50:22.228614,START
2024-07-26 09:57:09.568111,STOP
2024-07-26 09:57:09.623235,START
2024-07-26 09:59:37.889444,STOP
2024-07-26 09:59:37.912477,START
2024-07-26 10:00:25.148477,STOP
2024-07-26 10:00:25.170997,START
2024-07-26 10:01:15.326570,STOP
2024-07-26 10:01:15.355598,START
2024-07-26 10:02:02.643044,STOP
2024-07-26 10:02:02.664063,START
2024-07-26 10:02:50.889433,STOP
2024-07-26 10:02:50.921964,START
2024-07-26 10:03:40.928445,STOP
2024-07-26 10:03:40.956975,START
2024-07-26 10:04:32.775212,STOP
2024-07-26 10:04:32.829309,START
2024-07-26 10:05:24.250660,STOP
2024-07-26 10:05:24.286723,START
2024-07-26 10:06:14.713889,STOP
2024-07-26 10:06:14.747928,START
2024-07-26 10:07:05.800260,STOP
2024-07-26 10:07:05.847300,START
2024-07-26 10:08:57.577333,STOP
2024-07-26 10:08:57.666013,START
2024-07-26 10:11:35.902933,STOP
2024-07-26 10:11:35.933446,START
2024-07-26 10:12:26.897676,STOP
2024-07-26 10:12:26.922677,START
2024-07-26 10:13:14.894512,STOP
2024-07-26 10:13:14.937447,START
2024-07-26 10:14:08.124967,STOP
2024-07-26 10:14:08.143967,START
2024-07-26 10:14:58.764818,STOP
2024-07-26 10:14:58.792819,START
2024-07-26 10:15:49.897803,STOP
2024-07-26 10:15:49.930802,START
2024-07-26 10:16:39.470056,STOP
2024-07-26 10:16:39.501403,START
2024-07-26 10:17:28.230586,STOP
2024-07-26 10:17:28.258196,START
2024-07-26 10:18:23.787372,STOP
2024-07-26 10:18:23.817374,START
2024-07-26 10:19:14.593333,STOP
2024-07-26 10:19:14.619445,START
2024-07-26 10:20:04.303256,STOP
2024-07-26 10:20:04.330259,START
2024-07-26 10:20:55.748971,STOP
2024-07-26 10:20:55.779611,START
2024-07-26 10:21:45.689751,STOP
2024-07-26 10:21:45.749753,START
2024-07-26 10:22:37.009408,STOP
