time,start_or_stop
2024-07-26 08:54:38.454994,START
2024-07-26 08:58:52.736956,STOP
2024-07-26 08:59:12.789838,START
2024-07-26 09:00:04.415884,STOP
2024-07-26 09:00:04.434407,START
2024-07-26 09:02:54.388083,STOP
2024-07-26 09:02:54.646686,START
2024-07-26 09:05:55.758792,STOP
2024-07-26 09:05:55.785909,START
2024-07-26 09:06:44.699139,STOP
2024-07-26 09:06:44.718156,START
2024-07-26 09:07:36.798722,STOP
2024-07-26 09:07:36.883309,START
2024-07-26 09:12:34.230915,STOP
2024-07-26 09:12:34.253932,START
2024-07-26 09:13:35.603983,STOP
2024-07-26 09:13:35.638526,START
2024-07-26 09:14:33.914672,STOP
2024-07-26 09:14:33.935689,START
2024-07-26 09:15:24.934988,STOP
2024-07-26 09:15:24.969019,START
2024-07-26 09:16:13.164709,STOP
2024-07-26 09:16:13.184730,START
2024-07-26 09:16:59.184766,STOP
2024-07-26 09:16:59.218013,START
2024-07-26 09:19:44.223746,STOP
2024-07-26 09:19:44.240259,START
2024-07-26 09:22:12.987931,STOP
2024-07-26 09:22:13.076349,START
2024-07-26 09:23:21.413519,STOP
2024-07-26 09:23:21.451547,START
2024-07-26 09:24:05.702737,STOP
2024-07-26 09:24:05.782298,START
2024-07-26 09:24:47.115736,STOP
2024-07-26 09:24:47.158776,START
2024-07-26 09:25:34.152842,STOP
2024-07-26 09:25:34.171860,START
2024-07-26 09:26:13.747633,STOP
2024-07-26 09:26:13.769656,START
2024-07-26 09:26:56.526322,STOP
2024-07-26 09:26:56.546340,START
2024-07-26 09:27:39.819400,STOP
2024-07-26 09:27:39.838418,START
2024-07-26 09:28:27.133125,STOP
2024-07-26 09:28:27.175662,START
2024-07-26 09:29:16.741561,STOP
2024-07-26 09:29:16.764581,START
2024-07-26 09:30:02.484198,STOP
2024-07-26 09:30:02.519225,START
2024-07-26 09:30:54.284444,STOP
2024-07-26 09:30:54.317543,START
2024-07-26 09:31:42.393457,STOP
2024-07-26 09:31:42.412476,START
2024-07-26 09:32:32.815548,STOP
2024-07-26 09:32:32.849082,START
2024-07-26 09:33:23.158528,STOP
2024-07-26 09:33:23.179552,START
2024-07-26 09:34:23.625024,STOP
2024-07-26 09:34:23.652156,START
2024-07-26 09:35:16.036107,STOP
