time,start_or_stop
2024-07-26 08:54:38.359073,START
2024-07-26 08:58:52.546697,STOP
2024-07-26 08:59:12.577018,START
2024-07-26 09:00:04.044837,STOP
2024-07-26 09:00:04.063359,START
2024-07-26 09:02:40.996166,STOP
2024-07-26 09:02:41.017883,START
2024-07-26 09:05:54.237913,STOP
2024-07-26 09:05:54.255930,START
2024-07-26 09:06:43.282653,STOP
2024-07-26 09:06:43.301171,START
2024-07-26 09:07:35.624485,STOP
2024-07-26 09:07:35.644503,START
2024-07-26 09:12:31.526469,STOP
2024-07-26 09:12:31.546485,START
2024-07-26 09:13:32.648061,STOP
2024-07-26 09:13:32.668083,START
2024-07-26 09:14:31.380920,STOP
2024-07-26 09:14:31.400437,START
2024-07-26 09:15:21.894998,STOP
2024-07-26 09:15:21.911012,START
2024-07-26 09:16:10.640292,STOP
2024-07-26 09:16:10.659310,START
2024-07-26 09:16:56.451758,STOP
2024-07-26 09:16:56.467881,START
2024-07-26 09:19:41.471244,STOP
2024-07-26 09:19:41.490263,START
2024-07-26 09:22:09.735407,STOP
2024-07-26 09:22:09.753425,START
2024-07-26 09:23:16.998631,STOP
2024-07-26 09:23:17.019653,START
2024-07-26 09:24:02.318154,STOP
2024-07-26 09:24:02.336174,START
2024-07-26 09:24:43.776508,STOP
2024-07-26 09:24:43.796029,START
2024-07-26 09:25:31.468281,STOP
2024-07-26 09:25:31.488802,START
2024-07-26 09:26:11.138291,STOP
2024-07-26 09:26:11.157309,START
2024-07-26 09:26:54.119326,STOP
2024-07-26 09:26:54.136344,START
2024-07-26 09:27:37.183393,STOP
2024-07-26 09:27:37.204413,START
2024-07-26 09:28:24.754129,STOP
2024-07-26 09:28:24.773648,START
2024-07-26 09:29:14.506334,STOP
2024-07-26 09:29:14.524350,START
2024-07-26 09:29:59.992217,STOP
2024-07-26 09:30:00.011232,START
2024-07-26 09:30:51.638283,STOP
2024-07-26 09:30:51.659304,START
2024-07-26 09:31:39.853295,STOP
2024-07-26 09:31:39.870312,START
2024-07-26 09:32:30.259809,STOP
2024-07-26 09:32:30.278825,START
2024-07-26 09:33:20.764730,STOP
2024-07-26 09:33:20.781281,START
2024-07-26 09:34:21.468125,STOP
2024-07-26 09:34:21.488143,START
2024-07-26 09:35:13.695034,STOP
2024-07-26 09:35:13.713048,START
2024-07-26 09:36:05.692990,STOP
2024-07-26 09:36:05.716018,START
2024-07-26 09:36:53.203752,STOP
2024-07-26 09:36:53.224120,START
2024-07-26 09:37:44.460768,STOP
2024-07-26 09:37:44.481789,START
2024-07-26 09:38:38.713603,STOP
2024-07-26 09:38:38.735566,START
2024-07-26 09:39:31.884362,STOP
2024-07-26 09:39:31.904387,START
2024-07-26 09:40:21.128573,STOP
2024-07-26 09:40:21.146587,START
2024-07-26 09:41:11.499770,STOP
2024-07-26 09:41:11.520788,START
2024-07-26 09:41:59.677427,STOP
2024-07-26 09:41:59.696441,START
2024-07-26 09:42:46.873868,STOP
2024-07-26 09:42:46.894886,START
2024-07-26 09:43:56.429703,STOP
2024-07-26 09:43:56.461992,START
2024-07-26 09:44:49.676257,STOP
2024-07-26 09:44:49.698261,START
2024-07-26 09:45:35.062538,STOP
2024-07-26 09:45:35.080539,START
2024-07-26 09:46:21.747886,STOP
2024-07-26 09:46:21.768395,START
2024-07-26 09:47:10.164587,STOP
2024-07-26 09:47:10.181590,START
2024-07-26 09:47:56.269155,STOP
2024-07-26 09:47:56.289155,START
2024-07-26 09:48:47.341315,STOP
2024-07-26 09:48:47.364314,START
2024-07-26 09:49:35.236300,STOP
2024-07-26 09:49:35.256304,START
2024-07-26 09:50:21.173342,STOP
2024-07-26 09:50:21.193852,START
2024-07-26 09:56:57.086378,STOP
2024-07-26 09:56:57.174464,START
2024-07-26 09:59:36.210411,STOP
2024-07-26 09:59:36.230511,START
2024-07-26 10:00:23.263450,STOP
2024-07-26 10:00:23.284475,START
2024-07-26 10:01:13.408219,STOP
2024-07-26 10:01:13.427237,START
