time,start_or_stop
2024-07-26 08:54:38.455998,START
2024-07-26 08:58:52.601857,STOP
2024-07-26 08:59:12.627092,START
2024-07-26 09:00:03.969144,STOP
2024-07-26 09:00:03.991672,START
2024-07-26 09:02:41.954128,STOP
2024-07-26 09:02:42.035967,START
2024-07-26 09:05:54.265440,STOP
2024-07-26 09:05:54.284458,START
2024-07-26 09:06:43.009559,STOP
2024-07-26 09:06:43.028082,START
2024-07-26 09:07:34.732768,STOP
2024-07-26 09:07:34.751790,START
2024-07-26 09:12:30.582265,STOP
2024-07-26 09:12:30.599282,START
2024-07-26 09:13:31.216967,STOP
2024-07-26 09:13:31.234480,START
2024-07-26 09:14:29.406456,STOP
2024-07-26 09:14:29.427975,START
2024-07-26 09:15:19.348193,STOP
2024-07-26 09:15:19.365211,START
2024-07-26 09:16:07.124614,STOP
2024-07-26 09:16:07.144633,START
2024-07-26 09:16:52.273305,STOP
2024-07-26 09:16:52.291323,START
2024-07-26 09:19:36.636876,STOP
2024-07-26 09:19:36.656137,START
2024-07-26 09:22:04.159178,STOP
2024-07-26 09:22:04.180199,START
2024-07-26 09:23:10.140601,STOP
2024-07-26 09:23:10.160122,START
2024-07-26 09:23:54.360369,STOP
2024-07-26 09:23:54.379387,START
2024-07-26 09:24:33.189703,STOP
2024-07-26 09:24:33.207721,START
2024-07-26 09:25:16.187563,STOP
2024-07-26 09:25:16.257118,START
2024-07-26 09:25:50.646974,STOP
2024-07-26 09:25:50.678502,START
2024-07-26 09:26:27.507808,STOP
2024-07-26 09:26:27.588382,START
2024-07-26 09:27:06.958347,STOP
2024-07-26 09:27:06.979364,START
2024-07-26 09:27:48.694806,STOP
2024-07-26 09:27:48.747989,START
2024-07-26 09:28:33.290479,STOP
2024-07-26 09:28:33.309492,START
2024-07-26 09:29:20.994050,STOP
2024-07-26 09:29:21.011064,START
2024-07-26 09:30:05.797358,STOP
2024-07-26 09:30:05.839227,START
2024-07-26 09:30:55.825930,STOP
2024-07-26 09:30:55.864958,START
2024-07-26 09:31:42.453518,STOP
2024-07-26 09:31:42.486548,START
2024-07-26 09:32:32.112624,STOP
2024-07-26 09:32:32.145252,START
2024-07-26 09:33:22.124784,STOP
2024-07-26 09:33:22.142802,START
2024-07-26 09:34:22.149265,STOP
2024-07-26 09:34:22.167784,START
2024-07-26 09:35:13.824801,STOP
2024-07-26 09:35:13.843320,START
2024-07-26 09:36:05.440116,STOP
2024-07-26 09:36:05.458134,START
2024-07-26 09:36:52.314399,STOP
2024-07-26 09:36:52.334418,START
2024-07-26 09:37:42.994647,STOP
2024-07-26 09:37:43.011662,START
2024-07-26 09:38:36.441392,STOP
2024-07-26 09:38:36.463416,START
2024-07-26 09:39:28.628966,STOP
2024-07-26 09:39:28.647982,START
2024-07-26 09:40:16.616524,STOP
2024-07-26 09:40:16.635544,START
2024-07-26 09:41:05.145691,STOP
2024-07-26 09:41:05.162709,START
2024-07-26 09:41:51.175420,STOP
2024-07-26 09:41:51.194936,START
2024-07-26 09:42:33.285905,STOP
2024-07-26 09:42:33.363975,START
2024-07-26 09:43:21.456244,STOP
2024-07-26 09:43:21.541327,START
2024-07-26 09:44:22.968167,STOP
2024-07-26 09:44:23.036674,START
2024-07-26 09:45:05.227090,STOP
2024-07-26 09:45:05.268091,START
2024-07-26 09:45:47.663808,STOP
2024-07-26 09:45:47.683809,START
2024-07-26 09:46:31.663241,STOP
2024-07-26 09:46:31.740973,START
2024-07-26 09:47:17.648578,STOP
2024-07-26 09:47:17.676086,START
2024-07-26 09:48:01.613795,STOP
2024-07-26 09:48:01.650300,START
2024-07-26 09:48:51.538879,STOP
2024-07-26 09:48:51.559387,START
2024-07-26 09:49:37.298880,STOP
2024-07-26 09:49:37.336882,START
2024-07-26 09:50:22.341632,STOP
2024-07-26 09:50:22.374633,START
2024-07-26 09:57:10.496818,STOP
2024-07-26 09:57:10.613798,START
2024-07-26 09:59:37.552257,STOP
2024-07-26 09:59:37.572277,START
2024-07-26 10:00:24.180354,STOP
2024-07-26 10:00:24.215346,START
2024-07-26 10:01:13.360545,STOP
2024-07-26 10:01:13.380068,START
2024-07-26 10:02:00.550023,STOP
2024-07-26 10:02:00.570043,START
2024-07-26 10:02:48.286418,STOP
2024-07-26 10:02:48.304435,START
2024-07-26 10:03:37.726460,STOP
2024-07-26 10:03:37.747475,START
2024-07-26 10:04:28.529268,STOP
2024-07-26 10:04:28.548286,START
2024-07-26 10:05:18.303254,STOP
2024-07-26 10:05:18.331298,START
2024-07-26 10:06:07.352428,STOP
2024-07-26 10:06:07.376955,START
2024-07-26 10:06:58.457324,STOP
2024-07-26 10:06:58.479850,START
2024-07-26 10:07:49.495320,STOP
2024-07-26 10:07:49.513338,START
2024-07-26 10:11:23.619093,STOP
2024-07-26 10:11:23.644606,START
2024-07-26 10:12:10.987065,STOP
2024-07-26 10:12:11.004067,START
2024-07-26 10:12:53.390375,STOP
2024-07-26 10:12:53.434375,START
2024-07-26 10:13:35.083556,STOP
2024-07-26 10:13:35.109068,START
2024-07-26 10:14:21.437977,STOP
2024-07-26 10:14:21.509976,START
2024-07-26 10:15:11.217505,STOP
2024-07-26 10:15:11.238505,START
2024-07-26 10:15:56.661175,STOP
2024-07-26 10:15:56.685683,START
2024-07-26 10:16:45.468686,STOP
2024-07-26 10:16:45.501702,START
2024-07-26 10:17:32.011489,STOP
2024-07-26 10:17:32.043672,START
2024-07-26 10:18:25.999828,STOP
2024-07-26 10:18:26.038690,START
2024-07-26 10:19:15.606098,STOP
2024-07-26 10:19:15.639097,START
2024-07-26 10:20:04.622232,STOP
2024-07-26 10:20:04.655741,START
2024-07-26 10:20:55.061170,STOP
2024-07-26 10:20:55.088173,START
2024-07-26 10:21:44.309461,STOP
2024-07-26 10:21:44.332461,START
2024-07-26 10:22:35.291001,STOP
2024-07-26 10:22:35.319033,START
2024-07-26 10:23:27.075150,STOP
2024-07-26 10:23:27.093780,START
2024-07-26 10:24:21.671660,STOP
2024-07-26 10:24:21.702710,START
2024-07-26 10:29:27.264480,STOP
2024-07-26 10:29:27.285500,START
2024-07-26 10:30:18.258129,STOP
2024-07-26 10:30:18.277143,START
2024-07-26 10:31:04.515543,STOP
2024-07-26 10:31:04.537572,START
2024-07-26 10:31:53.253837,STOP
2024-07-26 10:31:53.282872,START
2024-07-26 10:32:44.978343,STOP
2024-07-26 10:32:45,START
