time,start_or_stop
2024-07-26 08:54:38.198009,START
2024-07-26 08:58:52.698713,STOP
2024-07-26 08:59:12.720699,START
2024-07-26 09:00:04.593567,STOP
2024-07-26 09:00:04.676889,START
2024-07-26 09:02:54.417951,STOP
2024-07-26 09:02:54.633056,START
2024-07-26 09:05:55.752790,STOP
2024-07-26 09:05:55.782908,START
2024-07-26 09:06:44.816316,STOP
2024-07-26 09:06:44.836837,START
2024-07-26 09:07:36.911841,STOP
2024-07-26 09:07:36.949876,START
2024-07-26 09:12:33.532828,STOP
2024-07-26 09:12:33.554349,START
2024-07-26 09:13:34.743313,STOP
2024-07-26 09:13:34.762330,START
2024-07-26 09:14:33.332691,STOP
2024-07-26 09:14:33.371323,START
2024-07-26 09:15:23.886780,STOP
2024-07-26 09:15:23.905797,START
2024-07-26 09:16:12.629938,STOP
2024-07-26 09:16:12.678479,START
2024-07-26 09:16:58.987120,STOP
2024-07-26 09:16:59.019657,START
2024-07-26 09:19:43.977908,STOP
2024-07-26 09:19:43.996924,START
2024-07-26 09:22:12.524726,STOP
2024-07-26 09:22:12.559754,START
2024-07-26 09:23:20.394474,STOP
2024-07-26 09:23:20.442591,START
2024-07-26 09:24:05.039043,STOP
2024-07-26 09:24:05.106099,START
2024-07-26 09:24:46.532254,STOP
2024-07-26 09:24:46.556786,START
2024-07-26 09:25:33.695834,STOP
2024-07-26 09:25:33.735869,START
2024-07-26 09:26:13.428622,STOP
2024-07-26 09:26:13.463267,START
2024-07-26 09:26:56.398562,STOP
2024-07-26 09:26:56.416581,START
2024-07-26 09:27:39.561471,STOP
2024-07-26 09:27:39.591995,START
2024-07-26 09:28:27.314817,STOP
2024-07-26 09:28:27.332834,START
2024-07-26 09:29:16.994295,STOP
2024-07-26 09:29:17.013311,START
2024-07-26 09:30:03.070947,STOP
2024-07-26 09:30:03.091576,START
2024-07-26 09:30:55.420506,STOP
2024-07-26 09:30:55.443026,START
2024-07-26 09:31:43.140030,STOP
2024-07-26 09:31:43.155043,START
2024-07-26 09:32:33.754655,STOP
2024-07-26 09:32:33.784746,START
2024-07-26 09:33:24.141139,STOP
2024-07-26 09:33:24.161157,START
2024-07-26 09:34:25.103952,STOP
2024-07-26 09:34:25.144986,START
2024-07-26 09:35:17.008276,STOP
2024-07-26 09:35:17.027294,START
2024-07-26 09:36:08.925738,STOP
2024-07-26 09:36:08.971391,START
2024-07-26 09:36:57.007735,STOP
2024-07-26 09:36:57.039260,START
2024-07-26 09:37:47.899480,STOP
2024-07-26 09:37:47.923508,START
2024-07-26 09:38:41.990976,STOP
2024-07-26 09:38:42.063535,START
2024-07-26 09:39:34.850857,STOP
2024-07-26 09:39:34.884889,START
2024-07-26 09:40:24.587189,STOP
2024-07-26 09:40:24.626221,START
2024-07-26 09:41:15.055125,STOP
2024-07-26 09:41:15.076647,START
