time,start_or_stop
2024-07-26 08:54:38.455998,START
2024-07-26 08:58:52.523761,STOP
2024-07-26 08:59:12.544001,START
2024-07-26 09:00:03.712871,STOP
2024-07-26 09:00:03.730886,START
2024-07-26 09:02:39.540048,STOP
2024-07-26 09:02:39.562445,START
2024-07-26 09:05:53.861620,STOP
2024-07-26 09:05:53.879131,START
2024-07-26 09:06:42.803767,STOP
2024-07-26 09:06:42.822781,START
2024-07-26 09:07:34.703131,STOP
2024-07-26 09:07:34.722657,START
2024-07-26 09:12:30.359863,STOP
2024-07-26 09:12:30.379880,START
2024-07-26 09:13:31.378271,STOP
2024-07-26 09:13:31.394778,START
2024-07-26 09:14:29.878948,STOP
2024-07-26 09:14:29.896074,START
2024-07-26 09:15:20.028711,STOP
2024-07-26 09:15:20.048254,START
2024-07-26 09:16:08.214068,STOP
2024-07-26 09:16:08.231086,START
2024-07-26 09:16:53.889705,STOP
2024-07-26 09:16:53.906216,START
2024-07-26 09:19:38.671015,STOP
2024-07-26 09:19:38.692131,START
2024-07-26 09:22:06.630760,STOP
2024-07-26 09:22:06.649371,START
2024-07-26 09:23:13.050581,STOP
2024-07-26 09:23:13.071111,START
2024-07-26 09:23:57.873962,STOP
2024-07-26 09:23:57.890474,START
2024-07-26 09:24:38.256857,STOP
2024-07-26 09:24:38.274872,START
2024-07-26 09:25:25.300506,STOP
2024-07-26 09:25:25.322247,START
2024-07-26 09:26:03.760423,STOP
2024-07-26 09:26:03.778943,START
2024-07-26 09:26:44.804636,STOP
2024-07-26 09:26:44.821765,START
2024-07-26 09:27:23.396476,STOP
2024-07-26 09:27:23.414102,START
2024-07-26 09:28:03.713352,STOP
2024-07-26 09:28:03.729373,START
2024-07-26 09:28:46.393237,STOP
2024-07-26 09:28:46.437270,START
2024-07-26 09:29:30.724361,STOP
2024-07-26 09:29:30.794916,START
2024-07-26 09:30:16.060209,STOP
2024-07-26 09:30:16.101748,START
2024-07-26 09:31:03.440696,STOP
2024-07-26 09:31:03.481731,START
2024-07-26 09:31:49.477834,STOP
2024-07-26 09:31:49.497451,START
2024-07-26 09:32:38.782594,STOP
2024-07-26 09:32:38.802609,START
2024-07-26 09:33:27.661315,STOP
2024-07-26 09:33:27.693840,START
2024-07-26 09:34:26.732703,STOP
2024-07-26 09:34:26.769736,START
2024-07-26 09:35:18.071953,STOP
2024-07-26 09:35:18.114918,START
2024-07-26 09:36:09.537226,STOP
2024-07-26 09:36:09.557247,START
2024-07-26 09:36:56.585971,STOP
2024-07-26 09:36:56.616998,START
2024-07-26 09:37:47.070231,STOP
2024-07-26 09:37:47.087746,START
2024-07-26 09:38:40.917537,STOP
2024-07-26 09:38:40.982590,START
2024-07-26 09:39:34.036656,STOP
2024-07-26 09:39:34.055674,START
2024-07-26 09:40:23.133551,STOP
2024-07-26 09:40:23.175088,START
2024-07-26 09:41:13.089715,STOP
2024-07-26 09:41:13.109732,START
2024-07-26 09:42:01.374959,STOP
2024-07-26 09:42:01.395981,START
2024-07-26 09:42:48.220003,STOP
2024-07-26 09:42:48.242021,START
2024-07-26 09:43:57.939881,STOP
2024-07-26 09:43:57.975928,START
2024-07-26 09:44:50.352277,STOP
2024-07-26 09:44:50.370279,START
2024-07-26 09:45:35.791466,STOP
2024-07-26 09:45:35.812467,START
2024-07-26 09:46:22.062521,STOP
2024-07-26 09:46:22.082027,START
2024-07-26 09:47:10.450903,STOP
2024-07-26 09:47:10.470019,START
2024-07-26 09:47:56.354667,STOP
2024-07-26 09:47:56.373809,START
2024-07-26 09:48:47.409315,STOP
2024-07-26 09:48:47.434319,START
2024-07-26 09:49:35.268811,STOP
2024-07-26 09:49:35.286811,START
2024-07-26 09:50:20.964697,STOP
2024-07-26 09:50:20.985701,START
2024-07-26 09:56:57.094373,STOP
2024-07-26 09:56:57.174464,START
2024-07-26 09:59:36.143212,STOP
2024-07-26 09:59:36.160724,START
2024-07-26 10:00:23.118414,STOP
2024-07-26 10:00:23.137376,START
2024-07-26 10:01:13.059322,STOP
2024-07-26 10:01:13.080844,START
2024-07-26 10:02:00.732213,STOP
2024-07-26 10:02:00.749853,START
2024-07-26 10:02:48.911792,STOP
2024-07-26 10:02:48.929805,START
2024-07-26 10:03:38.816268,STOP
2024-07-26 10:03:38.836286,START
2024-07-26 10:04:30.264527,STOP
2024-07-26 10:04:30.283542,START
2024-07-26 10:05:21.498011,STOP
2024-07-26 10:05:21.521537,START
2024-07-26 10:06:11.695812,STOP
2024-07-26 10:06:11.721970,START
2024-07-26 10:07:02.974595,STOP
2024-07-26 10:07:02.995121,START
2024-07-26 10:08:18.289144,STOP
2024-07-26 10:08:18.311125,START
2024-07-26 10:11:31.617433,STOP
2024-07-26 10:11:31.640939,START
2024-07-26 10:12:21.649613,STOP
2024-07-26 10:12:21.677121,START
2024-07-26 10:13:09.646215,STOP
2024-07-26 10:13:09.667217,START
2024-07-26 10:13:59.794625,STOP
2024-07-26 10:13:59.818136,START
2024-07-26 10:14:47.916568,STOP
2024-07-26 10:14:47.940568,START
2024-07-26 10:15:37.421476,STOP
2024-07-26 10:15:37.448479,START
2024-07-26 10:16:23.227913,STOP
2024-07-26 10:16:23.284487,START
2024-07-26 10:17:07.561752,STOP
2024-07-26 10:17:07.592757,START
2024-07-26 10:17:53.491460,STOP
2024-07-26 10:17:53.523907,START
2024-07-26 10:18:41.047630,STOP
2024-07-26 10:18:41.068632,START
2024-07-26 10:19:30.020949,STOP
2024-07-26 10:19:30.061950,START
2024-07-26 10:20:14.935598,STOP
2024-07-26 10:20:14.965740,START
2024-07-26 10:21:03.807614,STOP
2024-07-26 10:21:03.849615,START
2024-07-26 10:21:53.158891,STOP
2024-07-26 10:21:53.186404,START
2024-07-26 10:22:42.664285,STOP
2024-07-26 10:22:42.698325,START
2024-07-26 10:23:34.272730,STOP
2024-07-26 10:23:34.290749,START
2024-07-26 10:24:29.162343,STOP
2024-07-26 10:24:29.194413,START
2024-07-26 10:29:35.192149,STOP
