time,start_or_stop
2024-07-26 08:54:38.194998,START
2024-07-26 08:58:52.572684,STOP
2024-07-26 08:59:12.595039,START
2024-07-26 09:00:03.959635,STOP
2024-07-26 09:00:03.989162,START
2024-07-26 09:02:41.145828,STOP
2024-07-26 09:02:41.224284,START
2024-07-26 09:05:53.987243,STOP
2024-07-26 09:05:54.005259,START
2024-07-26 09:06:42.905374,STOP
2024-07-26 09:06:42.926388,START
2024-07-26 09:07:34.938710,STOP
2024-07-26 09:07:34.956733,START
2024-07-26 09:12:30.437511,STOP
2024-07-26 09:12:30.457530,START
2024-07-26 09:13:31.186934,STOP
2024-07-26 09:13:31.204444,START
2024-07-26 09:14:29.468014,STOP
2024-07-26 09:14:29.487637,START
2024-07-26 09:15:19.450928,STOP
2024-07-26 09:15:19.470948,START
2024-07-26 09:16:07.352935,STOP
2024-07-26 09:16:07.370452,START
2024-07-26 09:16:52.594859,STOP
2024-07-26 09:16:52.612405,START
2024-07-26 09:19:37.002188,STOP
2024-07-26 09:19:37.022207,START
2024-07-26 09:22:04.529054,STOP
2024-07-26 09:22:04.548068,START
2024-07-26 09:23:10.631433,STOP
2024-07-26 09:23:10.652453,START
2024-07-26 09:23:55.176114,STOP
2024-07-26 09:23:55.194129,START
2024-07-26 09:24:34.809433,STOP
2024-07-26 09:24:34.851464,START
2024-07-26 09:25:19.464917,STOP
2024-07-26 09:25:19.484938,START
2024-07-26 09:25:54.712819,STOP
2024-07-26 09:25:54.731835,START
2024-07-26 09:26:31.081818,STOP
2024-07-26 09:26:31.110343,START
2024-07-26 09:27:11.038216,STOP
2024-07-26 09:27:11.056233,START
2024-07-26 09:27:52.923707,STOP
2024-07-26 09:27:52.942831,START
2024-07-26 09:28:36.676536,STOP
2024-07-26 09:28:36.720084,START
2024-07-26 09:29:24.141511,STOP
2024-07-26 09:29:24.160535,START
2024-07-26 09:30:08.674850,STOP
2024-07-26 09:30:08.695868,START
2024-07-26 09:30:58.566588,STOP
2024-07-26 09:30:58.584206,START
2024-07-26 09:31:44.879808,STOP
2024-07-26 09:31:44.895947,START
2024-07-26 09:32:34.475915,STOP
2024-07-26 09:32:34.522960,START
2024-07-26 09:33:23.718732,STOP
2024-07-26 09:33:23.757260,START
2024-07-26 09:34:23.641644,STOP
2024-07-26 09:34:23.662168,START
2024-07-26 09:35:15.685697,STOP
2024-07-26 09:35:15.716224,START
2024-07-26 09:36:07.490476,STOP
2024-07-26 09:36:07.523506,START
2024-07-26 09:36:54.613590,STOP
2024-07-26 09:36:54.633610,START
2024-07-26 09:37:45.632992,STOP
2024-07-26 09:37:45.655648,START
2024-07-26 09:38:39.464162,STOP
2024-07-26 09:38:39.508700,START
2024-07-26 09:39:32.409069,STOP
2024-07-26 09:39:32.427086,START
2024-07-26 09:40:21.441493,STOP
2024-07-26 09:40:21.462113,START
2024-07-26 09:41:11.469238,STOP
2024-07-26 09:41:11.487250,START
2024-07-26 09:41:59.490126,STOP
2024-07-26 09:41:59.510646,START
2024-07-26 09:42:46.462719,STOP
2024-07-26 09:42:46.480736,START
2024-07-26 09:43:54.738525,STOP
2024-07-26 09:43:54.786553,START
2024-07-26 09:44:48.440250,STOP
2024-07-26 09:44:48.458250,START
2024-07-26 09:45:33.326506,STOP
2024-07-26 09:45:33.347012,START
2024-07-26 09:46:19.212657,STOP
2024-07-26 09:46:19.230657,START
2024-07-26 09:47:07.107647,STOP
2024-07-26 09:47:07.127646,START
2024-07-26 09:47:52.149777,STOP
2024-07-26 09:47:52.167777,START
2024-07-26 09:48:41.271169,STOP
2024-07-26 09:48:41.289754,START
2024-07-26 09:49:28.942002,STOP
2024-07-26 09:49:28.960004,START
2024-07-26 09:50:12.924939,STOP
2024-07-26 09:50:12.946939,START
2024-07-26 09:56:14.319073,STOP
2024-07-26 09:56:14.342024,START
2024-07-26 09:59:16.628920,STOP
2024-07-26 09:59:16.653447,START
2024-07-26 09:59:58.382735,STOP
2024-07-26 09:59:58.407770,START
2024-07-26 10:00:41.927989,STOP
2024-07-26 10:00:41.953013,START
2024-07-26 10:01:27.584267,STOP
2024-07-26 10:01:27.626813,START
2024-07-26 10:02:10.995709,STOP
2024-07-26 10:02:11.021245,START
2024-07-26 10:02:57.931638,STOP
2024-07-26 10:02:57.956665,START
2024-07-26 10:03:45.605715,STOP
2024-07-26 10:03:45.654774,START
2024-07-26 10:04:37.283402,STOP
2024-07-26 10:04:37.323946,START
2024-07-26 10:05:27.429227,STOP
2024-07-26 10:05:27.458277,START
2024-07-26 10:06:17.418018,STOP
2024-07-26 10:06:17.449555,START
2024-07-26 10:07:07.050350,STOP
2024-07-26 10:07:07.079884,START
2024-07-26 10:09:10.023125,STOP
2024-07-26 10:09:10.296737,START
2024-07-26 10:11:35.942447,STOP
2024-07-26 10:11:35.991447,START
2024-07-26 10:12:26.223780,STOP
2024-07-26 10:12:26.258672,START
2024-07-26 10:13:13.697002,STOP
2024-07-26 10:13:13.719631,START
2024-07-26 10:14:06.604737,STOP
2024-07-26 10:14:06.627244,START
2024-07-26 10:14:56.166959,STOP
2024-07-26 10:14:56.193579,START
2024-07-26 10:15:46.980435,STOP
2024-07-26 10:15:47.003436,START
2024-07-26 10:16:35.787866,STOP
2024-07-26 10:16:35.811395,START
2024-07-26 10:17:24.706986,STOP
2024-07-26 10:17:24.727507,START
2024-07-26 10:18:18.251138,STOP
2024-07-26 10:18:18.277649,START
2024-07-26 10:19:07.410300,STOP
2024-07-26 10:19:07.433300,START
2024-07-26 10:19:55.666743,STOP
2024-07-26 10:19:55.686743,START
2024-07-26 10:20:44.689728,STOP
2024-07-26 10:20:44.712747,START
2024-07-26 10:21:30.507934,STOP
2024-07-26 10:21:30.549987,START
2024-07-26 10:22:15.515480,STOP
2024-07-26 10:22:15.550018,START
2024-07-26 10:23:00.656920,STOP
2024-07-26 10:23:00.683457,START
2024-07-26 10:23:47.151877,STOP
2024-07-26 10:23:47.174408,START
2024-07-26 10:24:40.623012,STOP
2024-07-26 10:24:40.673076,START
2024-07-26 10:29:44.474023,STOP
2024-07-26 10:29:44.516015,START
2024-07-26 10:30:30.666271,STOP
2024-07-26 10:30:30.741340,START
2024-07-26 10:31:17.614162,STOP
2024-07-26 10:31:17.666205,START
2024-07-26 10:32:08.036555,STOP
2024-07-26 10:32:08.065581,START
2024-07-26 10:33:00.925756,STOP
2024-07-26 10:33:00.953290,START
2024-07-26 10:33:52.433779,STOP
2024-07-26 10:33:52.465317,START
2024-07-26 10:34:42.127943,STOP
2024-07-26 10:34:42.149968,START
2024-07-26 10:35:32.466258,STOP
2024-07-26 10:35:32.490278,START
2024-07-26 10:40:11.857192,STOP
2024-07-26 10:40:11.882210,START
2024-07-26 10:41:13.698998,STOP
2024-07-26 10:41:13.727525,START
2024-07-26 10:42:03.172505,STOP
2024-07-26 10:42:03.208148,START
2024-07-26 10:42:55.697514,STOP
2024-07-26 10:42:55.718530,START
2024-07-26 10:43:46.492936,STOP
2024-07-26 10:43:46.525978,START
2024-07-26 10:45:18.107930,STOP
2024-07-26 10:45:18.140464,START
2024-07-26 10:49:05.684105,STOP
2024-07-26 10:49:05.705122,START
2024-07-26 10:50:12.698251,STOP
2024-07-26 10:50:12.726783,START
2024-07-26 10:51:05.435128,STOP
2024-07-26 10:51:05.463664,START
